Trainee_ID,Age,Gender,State,District,Rural_Urban,Education_Level,Data_Origin
TRN-SIH26135-000025,27,Female,Kerala,Thiruvananthapuram,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000026,19,Male,Rajasthan,Kota,Rural,Postgraduate,illustrative_source
TRN-SIH26135-000027,36,Male,Tamil Nadu,Salem,Urban,ITI,illustrative_source
TRN-SIH26135-000028,25,Female,Kerala,Kochi,Urban,10th,illustrative_source
TRN-SIH26135-000029,18,Female,Gujarat,Vadodara,Rural,10th,illustrative_source
TRN-SIH26135-000030,26,Male,Karnataka,Bengaluru,Urban,Graduate,illustrative_source
TRN-SIH26135-000031,40,Female,Karnataka,Bengaluru,Rural,ITI,illustrative_source
TRN-SIH26135-000032,21,Male,Maharashtra,Nagpur,Urban,Graduate,illustrative_source
TRN-SIH26135-000033,23,Male,West Bengal,Howrah,Rural,Diploma,illustrative_source
TRN-SIH26135-000034,31,Male,Gujarat,Vadodara,Urban,ITI,illustrative_source
TRN-SIH26135-000035,37,Female,Punjab,Ludhiana,Urban,Diploma,illustrative_source
TRN-SIH26135-000036,20,Male,Odisha,Khordha,Urban,ITI,illustrative_source
TRN-SIH26135-000037,22,Male,Punjab,Jalandhar,Rural,Diploma,illustrative_source
TRN-SIH26135-000038,18,Female,Kerala,Kochi,Urban,Graduate,illustrative_source
TRN-SIH26135-000039,27,Male,Telangana,Hyderabad,Urban,Diploma,illustrative_source
TRN-SIH26135-000040,29,Male,Rajasthan,Kota,Rural,Graduate,illustrative_source
TRN-SIH26135-000041,33,Male,West Bengal,Siliguri,Urban,Graduate,illustrative_source
TRN-SIH26135-000042,30,Female,Kerala,Kozhikode,Urban,Diploma,illustrative_source
TRN-SIH26135-000043,28,Male,Uttar Pradesh,Kanpur,Rural,Graduate,illustrative_source
TRN-SIH26135-000044,29,Male,Tamil Nadu,Coimbatore,Urban,Diploma,illustrative_source
TRN-SIH26135-000045,31,Female,Odisha,Sundargarh,Urban,Graduate,illustrative_source
TRN-SIH26135-000046,19,Male,Bihar,Muzaffarpur,Rural,10th,illustrative_source
TRN-SIH26135-000047,29,Male,Karnataka,Mangaluru,Rural,Diploma,illustrative_source
TRN-SIH26135-000048,18,Female,Punjab,Ludhiana,Urban,Graduate,illustrative_source
TRN-SIH26135-000049,35,Female,Uttar Pradesh,Agra,Rural,12th,illustrative_source
TRN-SIH26135-000050,40,Female,Kerala,Kozhikode,Rural,Diploma,illustrative_source
TRN-SIH26135-000051,23,Male,Kerala,Kozhikode,Rural,10th,illustrative_source
TRN-SIH26135-000052,29,Male,Maharashtra,Nagpur,Rural,12th,illustrative_source
TRN-SIH26135-000053,33,Male,Tamil Nadu,Coimbatore,Urban,Graduate,illustrative_source
TRN-SIH26135-000054,38,Female,Karnataka,Hubballi,Urban,10th,illustrative_source
TRN-SIH26135-000055,26,Female,Karnataka,Mangaluru,Urban,12th,illustrative_source
TRN-SIH26135-000056,22,Male,Odisha,Sundargarh,Rural,12th,illustrative_source
TRN-SIH26135-000057,30,Female,Gujarat,Rajkot,Urban,Graduate,illustrative_source
TRN-SIH26135-000058,36,Male,West Bengal,Howrah,Urban,ITI,illustrative_source
TRN-SIH26135-000059,28,Female,Uttar Pradesh,Lucknow,Urban,10th,illustrative_source
TRN-SIH26135-000060,37,Female,Uttar Pradesh,Lucknow,Rural,Graduate,illustrative_source
TRN-SIH26135-000061,34,Male,Bihar,Gaya,Rural,ITI,illustrative_source
TRN-SIH26135-000062,32,Male,Uttar Pradesh,Agra,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000063,27,Male,Tamil Nadu,Salem,Rural,12th,illustrative_source
TRN-SIH26135-000064,25,Male,Bihar,Patna,Rural,Postgraduate,illustrative_source
TRN-SIH26135-000065,39,Male,Tamil Nadu,Chennai,Rural,Diploma,illustrative_source
TRN-SIH26135-000066,21,Male,Telangana,Nizamabad,Rural,Diploma,illustrative_source
TRN-SIH26135-000067,31,Female,Punjab,Ludhiana,Rural,12th,illustrative_source
TRN-SIH26135-000068,30,Male,Tamil Nadu,Coimbatore,Urban,ITI,illustrative_source
TRN-SIH26135-000069,29,Male,Odisha,Khordha,Urban,ITI,illustrative_source
TRN-SIH26135-000070,19,Male,Karnataka,Bengaluru,Rural,Graduate,illustrative_source
TRN-SIH26135-000071,28,Male,Kerala,Thiruvananthapuram,Urban,12th,illustrative_source
TRN-SIH26135-000072,23,Female,Maharashtra,Nagpur,Urban,Diploma,illustrative_source
TRN-SIH26135-000073,34,Female,Karnataka,Hubballi,Urban,Graduate,illustrative_source
TRN-SIH26135-000074,29,Male,West Bengal,Howrah,Urban,12th,illustrative_source
TRN-SIH26135-000075,37,Male,Uttar Pradesh,Varanasi,Urban,Graduate,illustrative_source
TRN-SIH26135-000076,37,Female,Karnataka,Hubballi,Rural,12th,illustrative_source
TRN-SIH26135-000077,24,Male,Telangana,Warangal,Rural,12th,illustrative_source
TRN-SIH26135-000078,37,Male,Maharashtra,Pune,Urban,10th,illustrative_source
TRN-SIH26135-000079,23,Male,Gujarat,Rajkot,Urban,Diploma,illustrative_source
TRN-SIH26135-000080,36,Male,Uttar Pradesh,Lucknow,Urban,10th,illustrative_source
TRN-SIH26135-000081,19,Female,Bihar,Patna,Urban,Graduate,illustrative_source
TRN-SIH26135-000082,37,Female,Karnataka,Bengaluru,Rural,Diploma,illustrative_source
TRN-SIH26135-000083,22,Male,West Bengal,Siliguri,Rural,10th,illustrative_source
TRN-SIH26135-000084,25,Male,Kerala,Kochi,Urban,Graduate,illustrative_source
TRN-SIH26135-000085,26,Female,Rajasthan,Jodhpur,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000086,23,Male,Uttar Pradesh,Varanasi,Rural,12th,illustrative_source
TRN-SIH26135-000087,37,Other,West Bengal,Howrah,Urban,12th,illustrative_source
TRN-SIH26135-000088,18,Male,Telangana,Warangal,Rural,ITI,illustrative_source
TRN-SIH26135-000089,31,Female,Kerala,Thiruvananthapuram,Urban,12th,illustrative_source
TRN-SIH26135-000090,31,Male,Kerala,Kochi,Urban,Graduate,illustrative_source
TRN-SIH26135-000091,20,Female,Karnataka,Hubballi,Urban,10th,illustrative_source
TRN-SIH26135-000092,24,Male,Kerala,Kozhikode,Urban,Graduate,illustrative_source
TRN-SIH26135-000093,20,Female,Punjab,Jalandhar,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000094,25,Female,Tamil Nadu,Chennai,Rural,Graduate,illustrative_source
TRN-SIH26135-000095,33,Female,Punjab,Amritsar,Urban,ITI,illustrative_source
TRN-SIH26135-000096,24,Male,Telangana,Warangal,Urban,10th,illustrative_source
TRN-SIH26135-000097,29,Male,Maharashtra,Pune,Urban,ITI,illustrative_source
TRN-SIH26135-000098,26,Female,Uttar Pradesh,Agra,Rural,Graduate,illustrative_source
TRN-SIH26135-000099,41,Male,Rajasthan,Jodhpur,Urban,ITI,illustrative_source
TRN-SIH26135-000100,28,Female,West Bengal,Siliguri,Urban,Graduate,illustrative_source
TRN-SIH26135-000101,21,Male,Kerala,Kozhikode,Urban,Graduate,illustrative_source
TRN-SIH26135-000102,29,Female,Maharashtra,Mumbai,Rural,10th,illustrative_source
TRN-SIH26135-000103,32,Male,Kerala,Thiruvananthapuram,Urban,12th,illustrative_source
TRN-SIH26135-000104,23,Female,Odisha,Sambalpur,Urban,Diploma,illustrative_source
TRN-SIH26135-000105,36,Male,Kerala,Kozhikode,Urban,Graduate,illustrative_source
TRN-SIH26135-000106,18,Male,Kerala,Thiruvananthapuram,Urban,Graduate,illustrative_source
TRN-SIH26135-000107,24,Female,Kerala,Thiruvananthapuram,Urban,Diploma,illustrative_source
TRN-SIH26135-000108,27,Male,Rajasthan,Jaipur,Urban,Diploma,illustrative_source
TRN-SIH26135-000109,34,Female,Karnataka,Bengaluru,Rural,Graduate,illustrative_source
TRN-SIH26135-000110,37,Female,Uttar Pradesh,Lucknow,Rural,Graduate,illustrative_source
TRN-SIH26135-000111,37,Male,Telangana,Nizamabad,Urban,ITI,illustrative_source
TRN-SIH26135-000112,28,Male,Kerala,Kozhikode,Urban,12th,illustrative_source
TRN-SIH26135-000113,35,Female,Gujarat,Ahmedabad,Rural,12th,illustrative_source
TRN-SIH26135-000114,32,Female,Karnataka,Mysuru,Urban,ITI,illustrative_source
TRN-SIH26135-000115,28,Male,Gujarat,Surat,Rural,Diploma,illustrative_source
TRN-SIH26135-000116,24,Female,Gujarat,Rajkot,Urban,Graduate,illustrative_source
TRN-SIH26135-000117,29,Male,Odisha,Ganjam,Rural,ITI,illustrative_source
TRN-SIH26135-000118,36,Male,West Bengal,Kolkata,Urban,12th,illustrative_source
TRN-SIH26135-000119,28,Female,Maharashtra,Nagpur,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000120,24,Male,West Bengal,Kolkata,Rural,12th,illustrative_source
TRN-SIH26135-000121,35,Female,Karnataka,Mangaluru,Urban,Graduate,illustrative_source
TRN-SIH26135-000122,24,Male,Uttar Pradesh,Agra,Rural,ITI,illustrative_source
TRN-SIH26135-000123,31,Male,Rajasthan,Jaipur,Rural,Graduate,illustrative_source
TRN-SIH26135-000124,30,Female,Karnataka,Hubballi,Rural,12th,illustrative_source
TRN-SIH26135-000125,33,Male,Punjab,Amritsar,Rural,Graduate,illustrative_source
TRN-SIH26135-000126,33,Female,Gujarat,Ahmedabad,Urban,Graduate,illustrative_source
TRN-SIH26135-000127,32,Female,Odisha,Cuttack,Urban,12th,illustrative_source
TRN-SIH26135-000128,25,Female,Kerala,Kochi,Urban,Diploma,illustrative_source
TRN-SIH26135-000129,23,Female,Gujarat,Rajkot,Urban,10th,illustrative_source
TRN-SIH26135-000130,29,Female,Rajasthan,Udaipur,Urban,10th,illustrative_source
TRN-SIH26135-000131,29,Male,Gujarat,Surat,Urban,10th,illustrative_source
TRN-SIH26135-000132,44,Female,Gujarat,Vadodara,Rural,Diploma,illustrative_source
TRN-SIH26135-000133,30,Male,West Bengal,Howrah,Urban,12th,illustrative_source
TRN-SIH26135-000134,28,Female,Gujarat,Surat,Rural,12th,illustrative_source
TRN-SIH26135-000135,23,Female,Kerala,Thiruvananthapuram,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000136,20,Male,Telangana,Hyderabad,Rural,ITI,illustrative_source
TRN-SIH26135-000137,18,Female,Rajasthan,Kota,Rural,10th,illustrative_source
TRN-SIH26135-000138,20,Male,Odisha,Sambalpur,Urban,Diploma,illustrative_source
TRN-SIH26135-000139,25,Female,Tamil Nadu,Salem,Urban,ITI,illustrative_source
TRN-SIH26135-000140,34,Male,Karnataka,Bengaluru,Urban,ITI,illustrative_source
TRN-SIH26135-000141,30,Male,Bihar,Gaya,Rural,Graduate,illustrative_source
TRN-SIH26135-000142,20,Female,Maharashtra,Mumbai,Rural,10th,illustrative_source
TRN-SIH26135-000143,23,Female,Telangana,Warangal,Urban,12th,illustrative_source
TRN-SIH26135-000144,26,Female,Tamil Nadu,Coimbatore,Urban,12th,illustrative_source
TRN-SIH26135-000145,25,Female,Bihar,Gaya,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000146,21,Female,Punjab,Ludhiana,Rural,ITI,illustrative_source
TRN-SIH26135-000147,18,Female,Odisha,Ganjam,Rural,12th,illustrative_source
TRN-SIH26135-000148,20,Female,Maharashtra,Nagpur,Rural,Graduate,illustrative_source
TRN-SIH26135-000149,20,Male,Kerala,Thiruvananthapuram,Rural,Graduate,illustrative_source
TRN-SIH26135-000150,35,Female,Odisha,Cuttack,Urban,Graduate,illustrative_source
TRN-SIH26135-000151,37,Male,Punjab,Jalandhar,Urban,ITI,illustrative_source
TRN-SIH26135-000152,18,Male,Telangana,Warangal,Urban,12th,illustrative_source
TRN-SIH26135-000153,32,Female,Bihar,Patna,Rural,ITI,illustrative_source
TRN-SIH26135-000154,36,Female,Telangana,Warangal,Rural,Graduate,illustrative_source
TRN-SIH26135-000155,22,Female,Karnataka,Mangaluru,Urban,12th,illustrative_source
TRN-SIH26135-000156,18,Female,Rajasthan,Jaipur,Rural,Graduate,illustrative_source
TRN-SIH26135-000157,38,Male,West Bengal,Howrah,Rural,Diploma,illustrative_source
TRN-SIH26135-000158,26,Female,Gujarat,Rajkot,Urban,Diploma,illustrative_source
TRN-SIH26135-000159,36,Male,Gujarat,Surat,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000160,28,Male,Kerala,Thiruvananthapuram,Rural,Diploma,illustrative_source
TRN-SIH26135-000161,37,Male,Bihar,Muzaffarpur,Urban,Graduate,illustrative_source
TRN-SIH26135-000162,30,Female,Rajasthan,Jodhpur,Rural,Graduate,illustrative_source
TRN-SIH26135-000163,24,Male,Tamil Nadu,Salem,Urban,10th,illustrative_source
TRN-SIH26135-000164,24,Female,Tamil Nadu,Chennai,Urban,Diploma,illustrative_source
TRN-SIH26135-000165,23,Male,Karnataka,Mysuru,Rural,10th,illustrative_source
TRN-SIH26135-000166,26,Male,Kerala,Thiruvananthapuram,Urban,Graduate,illustrative_source
TRN-SIH26135-000167,27,Male,Telangana,Hyderabad,Rural,12th,illustrative_source
TRN-SIH26135-000168,30,Male,Maharashtra,Nashik,Urban,Graduate,illustrative_source
TRN-SIH26135-000169,24,Female,Tamil Nadu,Chennai,Rural,Diploma,illustrative_source
TRN-SIH26135-000170,39,Male,Odisha,Sundargarh,Rural,12th,illustrative_source
TRN-SIH26135-000171,38,Male,West Bengal,Siliguri,Urban,ITI,illustrative_source
TRN-SIH26135-000172,29,Male,West Bengal,Durgapur,Urban,12th,illustrative_source
TRN-SIH26135-000173,40,Female,Kerala,Kochi,Urban,Diploma,illustrative_source
TRN-SIH26135-000174,37,Female,Uttar Pradesh,Lucknow,Rural,Graduate,illustrative_source
TRN-SIH26135-000175,25,Male,Uttar Pradesh,Kanpur,Urban,Graduate,illustrative_source
TRN-SIH26135-000176,30,Male,Karnataka,Hubballi,Urban,10th,illustrative_source
TRN-SIH26135-000177,27,Male,Uttar Pradesh,Varanasi,Urban,Diploma,illustrative_source
TRN-SIH26135-000178,37,Female,West Bengal,Kolkata,Rural,12th,illustrative_source
TRN-SIH26135-000179,21,Female,Punjab,Amritsar,Rural,Graduate,illustrative_source
TRN-SIH26135-000180,18,Male,Gujarat,Surat,Rural,Graduate,illustrative_source
TRN-SIH26135-000181,27,Male,Bihar,Muzaffarpur,Urban,Graduate,illustrative_source
TRN-SIH26135-000182,21,Male,West Bengal,Siliguri,Rural,Graduate,illustrative_source
TRN-SIH26135-000183,21,Male,Karnataka,Mysuru,Rural,Graduate,illustrative_source
TRN-SIH26135-000184,26,Male,Uttar Pradesh,Lucknow,Urban,Diploma,illustrative_source
TRN-SIH26135-000185,24,Male,Karnataka,Mangaluru,Rural,10th,illustrative_source
TRN-SIH26135-000186,25,Male,Karnataka,Mysuru,Rural,12th,illustrative_source
TRN-SIH26135-000187,26,Male,West Bengal,Kolkata,Rural,Diploma,illustrative_source
TRN-SIH26135-000188,29,Male,Tamil Nadu,Chennai,Urban,Graduate,illustrative_source
TRN-SIH26135-000189,23,Male,Maharashtra,Nagpur,Urban,Graduate,illustrative_source
TRN-SIH26135-000190,23,Male,Telangana,Nizamabad,Urban,Diploma,illustrative_source
TRN-SIH26135-000191,33,Female,Uttar Pradesh,Kanpur,Rural,12th,illustrative_source
TRN-SIH26135-000192,35,Male,Rajasthan,Kota,Rural,Diploma,illustrative_source
TRN-SIH26135-000193,40,Male,Rajasthan,Udaipur,Rural,ITI,illustrative_source
TRN-SIH26135-000194,27,Female,Tamil Nadu,Madurai,Urban,Graduate,illustrative_source
TRN-SIH26135-000195,35,Male,Bihar,Patna,Urban,Graduate,illustrative_source
TRN-SIH26135-000196,25,Male,West Bengal,Howrah,Urban,Graduate,illustrative_source
TRN-SIH26135-000197,30,Female,Tamil Nadu,Salem,Rural,ITI,illustrative_source
TRN-SIH26135-000198,28,Male,West Bengal,Howrah,Rural,10th,illustrative_source
TRN-SIH26135-000199,39,Male,Tamil Nadu,Madurai,Rural,12th,illustrative_source
TRN-SIH26135-000200,23,Female,Bihar,Muzaffarpur,Urban,Graduate,illustrative_source
TRN-SIH26135-000201,21,Female,Tamil Nadu,Madurai,Rural,Graduate,illustrative_source
TRN-SIH26135-000202,27,Female,Punjab,Amritsar,Rural,Diploma,illustrative_source
TRN-SIH26135-000203,18,Male,Karnataka,Bengaluru,Urban,12th,illustrative_source
TRN-SIH26135-000204,28,Male,Uttar Pradesh,Kanpur,Urban,Diploma,illustrative_source
TRN-SIH26135-000205,18,Male,Karnataka,Bengaluru,Urban,Graduate,illustrative_source
TRN-SIH26135-000206,21,Male,Telangana,Hyderabad,Rural,ITI,illustrative_source
TRN-SIH26135-000207,27,Female,Kerala,Thiruvananthapuram,Rural,12th,illustrative_source
TRN-SIH26135-000208,18,Female,Bihar,Patna,Rural,12th,illustrative_source
TRN-SIH26135-000209,29,Male,Telangana,Warangal,Rural,12th,illustrative_source
TRN-SIH26135-000210,18,Female,Kerala,Thiruvananthapuram,Rural,Diploma,illustrative_source
TRN-SIH26135-000211,27,Male,Telangana,Warangal,Urban,Graduate,illustrative_source
TRN-SIH26135-000212,32,Other,Uttar Pradesh,Varanasi,Urban,12th,illustrative_source
TRN-SIH26135-000213,35,Male,Kerala,Thiruvananthapuram,Urban,Graduate,illustrative_source
TRN-SIH26135-000214,38,Female,Karnataka,Hubballi,Urban,10th,illustrative_source
TRN-SIH26135-000215,21,Female,Uttar Pradesh,Kanpur,Rural,Graduate,illustrative_source
TRN-SIH26135-000216,24,Female,Telangana,Nizamabad,Rural,Postgraduate,illustrative_source
TRN-SIH26135-000217,22,Female,Odisha,Sambalpur,Urban,ITI,illustrative_source
TRN-SIH26135-000218,33,Female,West Bengal,Howrah,Rural,10th,illustrative_source
TRN-SIH26135-000219,28,Female,Karnataka,Hubballi,Urban,Graduate,illustrative_source
TRN-SIH26135-000220,27,Female,Punjab,Amritsar,Rural,Postgraduate,illustrative_source
TRN-SIH26135-000221,27,Male,West Bengal,Durgapur,Urban,12th,illustrative_source
TRN-SIH26135-000222,31,Female,Karnataka,Hubballi,Urban,Diploma,illustrative_source
TRN-SIH26135-000223,21,Female,Uttar Pradesh,Noida,Urban,Graduate,illustrative_source
TRN-SIH26135-000224,33,Male,Maharashtra,Mumbai,Rural,10th,illustrative_source
TRN-SIH26135-000225,29,Male,Uttar Pradesh,Agra,Urban,Diploma,illustrative_source
TRN-SIH26135-000226,34,Male,Telangana,Warangal,Urban,Graduate,illustrative_source
TRN-SIH26135-000227,24,Male,Kerala,Kozhikode,Urban,12th,illustrative_source
TRN-SIH26135-000228,27,Female,Gujarat,Vadodara,Urban,ITI,illustrative_source
TRN-SIH26135-000229,35,Female,Gujarat,Ahmedabad,Urban,Graduate,illustrative_source
TRN-SIH26135-000230,19,Male,Maharashtra,Pune,Rural,ITI,illustrative_source
TRN-SIH26135-000231,36,Male,Karnataka,Hubballi,Urban,ITI,illustrative_source
TRN-SIH26135-000232,25,Male,Punjab,Ludhiana,Urban,ITI,illustrative_source
TRN-SIH26135-000233,32,Female,Odisha,Sambalpur,Urban,12th,illustrative_source
TRN-SIH26135-000234,33,Female,Kerala,Thiruvananthapuram,Urban,ITI,illustrative_source
TRN-SIH26135-000235,26,Male,Karnataka,Hubballi,Rural,ITI,illustrative_source
TRN-SIH26135-000236,27,Male,Uttar Pradesh,Kanpur,Rural,Graduate,illustrative_source
TRN-SIH26135-000237,18,Female,Rajasthan,Jaipur,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000238,18,Female,Karnataka,Mysuru,Rural,ITI,illustrative_source
TRN-SIH26135-000239,28,Male,Telangana,Nizamabad,Rural,Graduate,illustrative_source
TRN-SIH26135-000240,35,Female,Rajasthan,Jaipur,Urban,Graduate,illustrative_source
TRN-SIH26135-000241,26,Male,West Bengal,Kolkata,Rural,Postgraduate,illustrative_source
TRN-SIH26135-000242,18,Female,Rajasthan,Jaipur,Urban,10th,illustrative_source
TRN-SIH26135-000243,24,Female,West Bengal,Siliguri,Urban,10th,illustrative_source
TRN-SIH26135-000244,24,Male,Rajasthan,Kota,Urban,12th,illustrative_source
TRN-SIH26135-000245,25,Female,Rajasthan,Kota,Urban,Graduate,illustrative_source
TRN-SIH26135-000246,20,Female,West Bengal,Durgapur,Rural,Diploma,illustrative_source
TRN-SIH26135-000247,22,Male,Kerala,Kozhikode,Urban,12th,illustrative_source
TRN-SIH26135-000248,18,Female,Tamil Nadu,Salem,Urban,12th,illustrative_source
TRN-SIH26135-000249,41,Male,Kerala,Thiruvananthapuram,Rural,Graduate,illustrative_source
TRN-SIH26135-000250,39,Male,Odisha,Sambalpur,Urban,Graduate,illustrative_source
TRN-SIH26135-000251,20,Other,Maharashtra,Nagpur,Urban,Diploma,illustrative_source
TRN-SIH26135-000252,27,Female,Karnataka,Bengaluru,Urban,12th,illustrative_source
TRN-SIH26135-000253,23,Male,Maharashtra,Pune,Rural,12th,illustrative_source
TRN-SIH26135-000254,26,Male,Telangana,Hyderabad,Urban,Graduate,illustrative_source
TRN-SIH26135-000255,30,Female,Rajasthan,Jodhpur,Urban,Graduate,illustrative_source
TRN-SIH26135-000256,28,Female,West Bengal,Howrah,Rural,Postgraduate,illustrative_source
TRN-SIH26135-000257,34,Male,Uttar Pradesh,Varanasi,Urban,ITI,illustrative_source
TRN-SIH26135-000258,23,Female,West Bengal,Siliguri,Rural,Graduate,illustrative_source
TRN-SIH26135-000259,27,Female,Maharashtra,Mumbai,Urban,Diploma,illustrative_source
TRN-SIH26135-000260,18,Female,Rajasthan,Udaipur,Urban,12th,illustrative_source
TRN-SIH26135-000261,28,Male,Kerala,Kozhikode,Rural,12th,illustrative_source
TRN-SIH26135-000262,18,Female,Maharashtra,Pune,Urban,ITI,illustrative_source
TRN-SIH26135-000263,18,Male,Telangana,Hyderabad,Urban,10th,illustrative_source
TRN-SIH26135-000264,36,Female,Bihar,Muzaffarpur,Urban,10th,illustrative_source
TRN-SIH26135-000265,36,Male,Bihar,Muzaffarpur,Urban,10th,illustrative_source
TRN-SIH26135-000266,20,Female,Gujarat,Surat,Urban,12th,illustrative_source
TRN-SIH26135-000267,39,Female,Karnataka,Mangaluru,Urban,ITI,illustrative_source
TRN-SIH26135-000268,32,Female,Tamil Nadu,Madurai,Rural,Graduate,illustrative_source
TRN-SIH26135-000269,30,Male,Rajasthan,Udaipur,Urban,12th,illustrative_source
TRN-SIH26135-000270,19,Female,Rajasthan,Kota,Rural,Graduate,illustrative_source
TRN-SIH26135-000271,40,Male,Telangana,Hyderabad,Rural,Graduate,illustrative_source
TRN-SIH26135-000272,32,Male,Odisha,Ganjam,Urban,Graduate,illustrative_source
TRN-SIH26135-000273,21,Female,West Bengal,Kolkata,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000274,18,Female,Bihar,Muzaffarpur,Rural,Diploma,illustrative_source
TRN-SIH26135-000275,19,Female,Karnataka,Mangaluru,Urban,Graduate,illustrative_source
TRN-SIH26135-000276,28,Male,Karnataka,Mangaluru,Rural,Graduate,illustrative_source
TRN-SIH26135-000277,26,Female,Karnataka,Hubballi,Urban,Diploma,illustrative_source
TRN-SIH26135-000278,37,Male,Kerala,Kozhikode,Urban,Diploma,illustrative_source
TRN-SIH26135-000279,20,Male,Odisha,Sambalpur,Urban,Diploma,illustrative_source
TRN-SIH26135-000280,29,Female,Odisha,Sambalpur,Urban,Diploma,illustrative_source
TRN-SIH26135-000281,34,Female,Telangana,Warangal,Rural,ITI,illustrative_source
TRN-SIH26135-000282,18,Male,Karnataka,Mysuru,Urban,12th,illustrative_source
TRN-SIH26135-000283,31,Male,Uttar Pradesh,Noida,Urban,ITI,illustrative_source
TRN-SIH26135-000284,27,Male,Karnataka,Mysuru,Urban,12th,illustrative_source
TRN-SIH26135-000285,23,Male,Karnataka,Mangaluru,Urban,ITI,illustrative_source
TRN-SIH26135-000286,18,Female,Bihar,Muzaffarpur,Rural,Graduate,illustrative_source
TRN-SIH26135-000287,30,Male,West Bengal,Howrah,Rural,Graduate,illustrative_source
TRN-SIH26135-000288,22,Male,Gujarat,Vadodara,Urban,Postgraduate,illustrative_source
TRN-SIH26135-000289,24,Male,Gujarat,Surat,Urban,Diploma,illustrative_source
TRN-SIH26135-000290,37,Female,Karnataka,Mangaluru,Urban,12th,illustrative_source
TRN-SIH26135-000291,27,Male,Kerala,Kozhikode,Urban,12th,illustrative_source
TRN-SIH26135-000292,29,Male,Telangana,Warangal,Urban,Graduate,illustrative_source
TRN-SIH26135-000293,41,Female,Bihar,Gaya,Rural,10th,illustrative_source
TRN-SIH26135-000294,28,Female,Telangana,Hyderabad,Rural,Diploma,illustrative_source
TRN-SIH26135-000295,21,Male,Gujarat,Surat,Urban,Graduate,illustrative_source
TRN-SIH26135-000296,36,Female,Gujarat,Surat,Rural,Graduate,illustrative_source
TRN-SIH26135-000297,27,Male,Punjab,Ludhiana,Urban,12th,illustrative_source
TRN-SIH26135-000298,23,Female,Karnataka,Hubballi,Urban,Graduate,illustrative_source
TRN-SIH26135-000299,21,Male,Telangana,Nizamabad,Rural,12th,illustrative_source
TRN-SIH26135-000300,25,Male,Odisha,Cuttack,Rural,Diploma,illustrative_source
TRN-SIH26135-000301,34,Male,Tamil Nadu,Salem,Urban,10th,illustrative_source
TRN-SIH26135-000302,23,Male,Kerala,Kochi,Urban,12th,illustrative_source
TRN-SIH26135-000303,28,Male,Odisha,Ganjam,Urban,Graduate,illustrative_source
