Target_Job_Role,State,District,Snapshot_Date,Active_Postings,Candidate_Count,Demand_Score,Data_Origin
Account Executive,Kerala,Kozhikode,2024-05-01,41,44,48.24,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-06-01,46,46,50.0,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-07-01,51,48,51.52,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-08-01,56,50,52.83,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-09-01,61,52,53.98,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-10-01,66,54,55.0,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-11-01,71,56,55.91,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-12-01,76,58,56.72,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-01-01,81,60,57.45,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-02-01,21,62,25.3,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-03-01,26,64,28.89,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-04-01,31,66,31.96,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-05-01,36,68,34.62,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-06-01,41,70,36.94,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-07-01,46,72,38.98,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-08-01,51,74,40.8,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-09-01,56,76,42.42,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-10-01,61,78,43.88,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-11-01,66,80,45.21,synthetic_derived
Account Executive,Kerala,Kozhikode,2025-12-01,71,82,46.41,synthetic_derived
Account Executive,Kerala,Kozhikode,2026-01-01,76,84,47.5,synthetic_derived
Account Executive,Kerala,Kozhikode,2026-02-01,81,86,48.5,synthetic_derived
Account Executive,Kerala,Kozhikode,2026-03-01,21,88,19.27,synthetic_derived
Account Executive,Kerala,Kozhikode,2026-04-01,26,90,22.41,synthetic_derived
Account Executive,Kerala,Kozhikode,2026-05-01,31,92,25.2,synthetic_derived
Account Executive,Kerala,Kozhikode,2026-06-01,36,94,27.69,synthetic_derived
Account Executive,Kerala,Kozhikode,2026-07-01,41,96,29.93,synthetic_derived
Account Executive,Kerala,Kozhikode,2026-08-01,46,98,31.94,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-01-01,24,47,33.8,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-02-01,29,49,37.18,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-03-01,34,51,40.0,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-04-01,39,53,42.39,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-05-01,44,55,44.44,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-06-01,49,57,46.23,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-07-01,54,59,47.79,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-08-01,59,61,49.17,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-09-01,64,63,50.39,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-10-01,69,65,51.49,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-11-01,74,67,52.48,synthetic_derived
Account Executive,Rajasthan,Udaipur,2024-12-01,79,69,53.38,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-01-01,19,71,21.11,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-02-01,24,73,24.74,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-03-01,29,75,27.88,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-04-01,34,77,30.63,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-05-01,39,79,33.05,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-06-01,44,81,35.2,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-07-01,49,83,37.12,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-08-01,54,85,38.85,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-09-01,59,87,40.41,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-10-01,64,89,41.83,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-11-01,69,91,43.12,synthetic_derived
Account Executive,Rajasthan,Udaipur,2025-12-01,74,93,44.31,synthetic_derived
Account Executive,Rajasthan,Udaipur,2026-01-01,79,95,45.4,synthetic_derived
Account Executive,Rajasthan,Udaipur,2026-02-01,19,97,16.38,synthetic_derived
Account Executive,Rajasthan,Udaipur,2026-03-01,24,99,19.51,synthetic_derived
Account Executive,Rajasthan,Udaipur,2026-04-01,29,101,22.31,synthetic_derived
Account Executive,Rajasthan,Udaipur,2026-05-01,34,103,24.82,synthetic_derived
Account Executive,Rajasthan,Udaipur,2026-06-01,39,105,27.08,synthetic_derived
Account Executive,Rajasthan,Udaipur,2026-07-01,44,107,29.14,synthetic_derived
Account Executive,Rajasthan,Udaipur,2026-08-01,49,109,31.01,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-01-01,27,58,31.76,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-02-01,32,60,34.78,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-03-01,37,62,37.37,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-04-01,42,64,39.62,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-05-01,47,66,41.59,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-06-01,52,68,43.33,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-07-01,57,70,44.88,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-08-01,62,72,46.27,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-09-01,67,74,47.52,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-10-01,72,76,48.65,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-11-01,77,78,49.68,synthetic_derived
Account Executive,Karnataka,Hubballi,2024-12-01,82,80,50.62,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-01-01,22,82,21.15,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-02-01,27,84,24.32,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-03-01,32,86,27.12,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-04-01,37,88,29.6,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-05-01,42,90,31.82,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-06-01,47,92,33.81,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-07-01,52,94,35.62,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-08-01,57,96,37.25,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-09-01,62,98,38.75,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-10-01,67,100,40.12,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-11-01,72,102,41.38,synthetic_derived
Account Executive,Karnataka,Hubballi,2025-12-01,77,104,42.54,synthetic_derived
Account Executive,Karnataka,Hubballi,2026-01-01,82,106,43.62,synthetic_derived
Account Executive,Karnataka,Hubballi,2026-02-01,22,108,16.92,synthetic_derived
Account Executive,Karnataka,Hubballi,2026-03-01,27,110,19.71,synthetic_derived
Account Executive,Karnataka,Hubballi,2026-04-01,32,112,22.22,synthetic_derived
Account Executive,Karnataka,Hubballi,2026-05-01,37,114,24.5,synthetic_derived
Account Executive,Karnataka,Hubballi,2026-06-01,42,26,61.76,synthetic_derived
Account Executive,Karnataka,Hubballi,2026-07-01,47,28,62.67,synthetic_derived
Account Executive,Karnataka,Hubballi,2026-08-01,52,30,63.41,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-01-01,30,69,30.3,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-02-01,35,71,33.02,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-03-01,40,73,35.4,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-04-01,45,75,37.5,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-05-01,50,77,39.37,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-06-01,55,79,41.04,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-07-01,60,81,42.55,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-08-01,65,83,43.92,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-09-01,70,85,45.16,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-10-01,75,87,46.3,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-11-01,80,89,47.34,synthetic_derived
Account Executive,Karnataka,Mysuru,2024-12-01,20,91,18.02,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-01-01,25,93,21.19,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-02-01,30,95,24.0,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-03-01,35,97,26.52,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-04-01,40,99,28.78,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-05-01,45,101,30.82,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-06-01,50,103,32.68,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-07-01,55,105,34.38,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-08-01,60,107,35.93,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-09-01,65,109,37.36,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-10-01,70,111,38.67,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-11-01,75,113,39.89,synthetic_derived
Account Executive,Karnataka,Mysuru,2025-12-01,80,25,76.19,synthetic_derived
Account Executive,Karnataka,Mysuru,2026-01-01,20,27,42.55,synthetic_derived
Account Executive,Karnataka,Mysuru,2026-02-01,25,29,46.3,synthetic_derived
Account Executive,Karnataka,Mysuru,2026-03-01,30,31,49.18,synthetic_derived
Account Executive,Karnataka,Mysuru,2026-04-01,35,33,51.47,synthetic_derived
Account Executive,Karnataka,Mysuru,2026-05-01,40,35,53.33,synthetic_derived
Account Executive,Karnataka,Mysuru,2026-06-01,45,37,54.88,synthetic_derived
Account Executive,Karnataka,Mysuru,2026-07-01,50,39,56.18,synthetic_derived
Account Executive,Karnataka,Mysuru,2026-08-01,55,41,57.29,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-01-01,33,80,29.2,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-02-01,38,82,31.67,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-03-01,43,84,33.86,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-04-01,48,86,35.82,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-05-01,53,88,37.59,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-06-01,58,90,39.19,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-07-01,63,92,40.65,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-08-01,68,94,41.98,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-09-01,73,96,43.2,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-10-01,78,98,44.32,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-11-01,18,100,15.25,synthetic_derived
Account Executive,Punjab,Jalandhar,2024-12-01,23,102,18.4,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-01-01,28,104,21.21,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-02-01,33,106,23.74,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-03-01,38,108,26.03,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-04-01,43,110,28.1,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-05-01,48,112,30.0,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-06-01,53,114,31.74,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-07-01,58,26,69.05,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-08-01,63,28,69.23,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-09-01,68,30,69.39,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-10-01,73,32,69.52,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-11-01,78,34,69.64,synthetic_derived
Account Executive,Punjab,Jalandhar,2025-12-01,18,36,33.33,synthetic_derived
Account Executive,Punjab,Jalandhar,2026-01-01,23,38,37.7,synthetic_derived
Account Executive,Punjab,Jalandhar,2026-02-01,28,40,41.18,synthetic_derived
Account Executive,Punjab,Jalandhar,2026-03-01,33,42,44.0,synthetic_derived
Account Executive,Punjab,Jalandhar,2026-04-01,38,44,46.34,synthetic_derived
Account Executive,Punjab,Jalandhar,2026-05-01,43,46,48.31,synthetic_derived
Account Executive,Punjab,Jalandhar,2026-06-01,48,48,50.0,synthetic_derived
Account Executive,Punjab,Jalandhar,2026-07-01,53,50,51.46,synthetic_derived
Account Executive,Punjab,Jalandhar,2026-08-01,58,52,52.73,synthetic_derived
Account Executive,West Bengal,Howrah,2024-01-01,36,91,28.35,synthetic_derived
Account Executive,West Bengal,Howrah,2024-02-01,41,93,30.6,synthetic_derived
Account Executive,West Bengal,Howrah,2024-03-01,46,95,32.62,synthetic_derived
Account Executive,West Bengal,Howrah,2024-04-01,51,97,34.46,synthetic_derived
Account Executive,West Bengal,Howrah,2024-05-01,56,99,36.13,synthetic_derived
Account Executive,West Bengal,Howrah,2024-06-01,61,101,37.65,synthetic_derived
Account Executive,West Bengal,Howrah,2024-07-01,66,103,39.05,synthetic_derived
Account Executive,West Bengal,Howrah,2024-08-01,71,105,40.34,synthetic_derived
Account Executive,West Bengal,Howrah,2024-09-01,76,107,41.53,synthetic_derived
Account Executive,West Bengal,Howrah,2024-10-01,81,109,42.63,synthetic_derived
Account Executive,West Bengal,Howrah,2024-11-01,21,111,15.91,synthetic_derived
Account Executive,West Bengal,Howrah,2024-12-01,26,113,18.71,synthetic_derived
Account Executive,West Bengal,Howrah,2025-01-01,31,25,55.36,synthetic_derived
Account Executive,West Bengal,Howrah,2025-02-01,36,27,57.14,synthetic_derived
Account Executive,West Bengal,Howrah,2025-03-01,41,29,58.57,synthetic_derived
Account Executive,West Bengal,Howrah,2025-04-01,46,31,59.74,synthetic_derived
Account Executive,West Bengal,Howrah,2025-05-01,51,33,60.71,synthetic_derived
Account Executive,West Bengal,Howrah,2025-06-01,56,35,61.54,synthetic_derived
Account Executive,West Bengal,Howrah,2025-07-01,61,37,62.24,synthetic_derived
Account Executive,West Bengal,Howrah,2025-08-01,66,39,62.86,synthetic_derived
Account Executive,West Bengal,Howrah,2025-09-01,71,41,63.39,synthetic_derived
Account Executive,West Bengal,Howrah,2025-10-01,76,43,63.87,synthetic_derived
Account Executive,West Bengal,Howrah,2025-11-01,81,45,64.29,synthetic_derived
Account Executive,West Bengal,Howrah,2025-12-01,21,47,30.88,synthetic_derived
Account Executive,West Bengal,Howrah,2026-01-01,26,49,34.67,synthetic_derived
Account Executive,West Bengal,Howrah,2026-02-01,31,51,37.8,synthetic_derived
Account Executive,West Bengal,Howrah,2026-03-01,36,53,40.45,synthetic_derived
Account Executive,West Bengal,Howrah,2026-04-01,41,55,42.71,synthetic_derived
Account Executive,West Bengal,Howrah,2026-05-01,46,57,44.66,synthetic_derived
Account Executive,West Bengal,Howrah,2026-06-01,51,59,46.36,synthetic_derived
Account Executive,West Bengal,Howrah,2026-07-01,56,61,47.86,synthetic_derived
Account Executive,West Bengal,Howrah,2026-08-01,61,63,49.19,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-01-01,39,102,27.66,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-02-01,44,104,29.73,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-03-01,49,106,31.61,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-04-01,54,108,33.33,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-05-01,59,110,34.91,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-06-01,64,112,36.36,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-07-01,69,114,37.7,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-08-01,74,26,74.0,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-09-01,79,28,73.83,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-10-01,19,30,38.78,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-11-01,24,32,42.86,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2024-12-01,29,34,46.03,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-01-01,34,36,48.57,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-02-01,39,38,50.65,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-03-01,44,40,52.38,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-04-01,49,42,53.85,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-05-01,54,44,55.1,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-06-01,59,46,56.19,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-07-01,64,48,57.14,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-08-01,69,50,57.98,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-09-01,74,52,58.73,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-10-01,79,54,59.4,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-11-01,19,56,25.33,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2025-12-01,24,58,29.27,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2026-01-01,29,60,32.58,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2026-02-01,34,62,35.42,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2026-03-01,39,64,37.86,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2026-04-01,44,66,40.0,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2026-05-01,49,68,41.88,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2026-06-01,54,70,43.55,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2026-07-01,59,72,45.04,synthetic_derived
Account Executive,Uttar Pradesh,Kanpur,2026-08-01,64,74,46.38,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-01-01,42,113,27.1,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-02-01,47,25,65.28,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-03-01,52,27,65.82,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-04-01,57,29,66.28,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-05-01,62,31,66.67,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-06-01,67,33,67.0,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-07-01,72,35,67.29,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-08-01,77,37,67.54,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-09-01,82,39,67.77,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-10-01,22,41,34.92,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-11-01,27,43,38.57,synthetic_derived
Account Executive,Maharashtra,Mumbai,2024-12-01,32,45,41.56,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-01-01,37,47,44.05,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-02-01,42,49,46.15,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-03-01,47,51,47.96,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-04-01,52,53,49.52,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-05-01,57,55,50.89,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-06-01,62,57,52.1,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-07-01,67,59,53.17,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-08-01,72,61,54.14,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-09-01,77,63,55.0,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-10-01,82,65,55.78,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-11-01,22,67,24.72,synthetic_derived
Account Executive,Maharashtra,Mumbai,2025-12-01,27,69,28.12,synthetic_derived
Account Executive,Maharashtra,Mumbai,2026-01-01,32,71,31.07,synthetic_derived
Account Executive,Maharashtra,Mumbai,2026-02-01,37,73,33.64,synthetic_derived
Account Executive,Maharashtra,Mumbai,2026-03-01,42,75,35.9,synthetic_derived
Account Executive,Maharashtra,Mumbai,2026-04-01,47,77,37.9,synthetic_derived
Account Executive,Maharashtra,Mumbai,2026-05-01,52,79,39.69,synthetic_derived
Account Executive,Maharashtra,Mumbai,2026-06-01,57,81,41.3,synthetic_derived
Account Executive,Maharashtra,Mumbai,2026-07-01,62,83,42.76,synthetic_derived
Account Executive,Maharashtra,Mumbai,2026-08-01,67,85,44.08,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-01-01,45,34,56.96,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-02-01,50,36,58.14,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-03-01,55,38,59.14,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-04-01,60,40,60.0,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-05-01,65,42,60.75,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-06-01,70,44,61.4,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-07-01,75,46,61.98,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-08-01,80,48,62.5,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-09-01,20,50,28.57,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-10-01,25,52,32.47,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-11-01,30,54,35.71,synthetic_derived
Account Executive,West Bengal,Siliguri,2024-12-01,35,56,38.46,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-01-01,40,58,40.82,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-02-01,45,60,42.86,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-03-01,50,62,44.64,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-04-01,55,64,46.22,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-05-01,60,66,47.62,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-06-01,65,68,48.87,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-07-01,70,70,50.0,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-08-01,75,72,51.02,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-09-01,80,74,51.95,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-10-01,20,76,20.83,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-11-01,25,78,24.27,synthetic_derived
Account Executive,West Bengal,Siliguri,2025-12-01,30,80,27.27,synthetic_derived
Account Executive,West Bengal,Siliguri,2026-01-01,35,82,29.91,synthetic_derived
Account Executive,West Bengal,Siliguri,2026-02-01,40,84,32.26,synthetic_derived
Account Executive,West Bengal,Siliguri,2026-03-01,45,86,34.35,synthetic_derived
Account Executive,West Bengal,Siliguri,2026-04-01,50,88,36.23,synthetic_derived
Account Executive,West Bengal,Siliguri,2026-05-01,55,90,37.93,synthetic_derived
Account Executive,West Bengal,Siliguri,2026-06-01,60,92,39.47,synthetic_derived
Account Executive,West Bengal,Siliguri,2026-07-01,65,94,40.88,synthetic_derived
Account Executive,West Bengal,Siliguri,2026-08-01,70,96,42.17,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-01-01,48,45,51.61,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-02-01,53,47,53.0,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-03-01,58,49,54.21,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-04-01,63,51,55.26,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-05-01,68,53,56.2,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-06-01,73,55,57.03,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-07-01,78,57,57.78,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-08-01,18,59,23.38,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-09-01,23,61,27.38,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-10-01,28,63,30.77,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-11-01,33,65,33.67,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2024-12-01,38,67,36.19,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2025-01-01,43,69,38.39,synthetic_derived
Account Executive,Gujarat,Ahmedabad,2025-02-01,48,71,40.34,synthetic_derived
