Trainee_ID,Course,Training_Provider,Training_Duration_Weeks,Attendance_Percent,Assessment_Score,Certification,Internship,Previous_Experience_Years,Target_Job_Role,Completion_Date,Training_Start_Date,Training_Performance,Data_Origin,State,District,Education_Level,Rural_Urban,Skill_Gap_Score,Missing_Skill_Count,Skill_Coverage_Percent,Snapshot_Date,Demand_Score,Skills_Text,Placement_Target
TRN-SIH26135-000030,Mobile App Development,NextGen Academy,8,85.5,89.3,Yes,No,0.7,Software Developer,2025-01-12,2024-11-17,87.59,derived_training_snapshot,Karnataka,Bengaluru,Graduate,Urban,65.0,2,33.33,2025-01-01,47.8,autocad communication java,1
TRN-SIH26135-000031,Electrical Technician,NextGen Academy,20,88.7,76.9,Yes,Yes,4.0,Technician,2025-01-25,2024-09-07,82.21,derived_training_snapshot,Karnataka,Bengaluru,ITI,Rural,75.0,2,33.33,2025-01-01,21.19,accounting excel sql,1
TRN-SIH26135-000032,Networking,Udaan Skills,6,83.0,71.8,Yes,Yes,2.6,Support Engineer,2025-02-07,2024-12-27,76.84,derived_training_snapshot,Maharashtra,Nagpur,Graduate,Urban,100.0,3,0.0,2025-02-01,20.47,digital_marketing excel javascript,1
TRN-SIH26135-000033,Mobile App Development,Pragati Learning Hub,12,58.0,77.2,Yes,Yes,0.7,Software Developer,2025-02-20,2024-11-28,68.56,derived_training_snapshot,West Bengal,Howrah,Diploma,Rural,36.44,1,66.67,2025-02-01,28.72,java networking python,1
TRN-SIH26135-000034,Cybersecurity,National Training Network,4,88.2,79.1,Yes,No,3.4,Cybersecurity Associate,2025-03-05,2025-02-05,83.2,derived_training_snapshot,Gujarat,Vadodara,ITI,Urban,100.0,3,0.0,2025-03-01,47.13,autocad digital_marketing sales,1
TRN-SIH26135-000035,Cloud Computing,NextGen Academy,8,85.2,94.1,Yes,Yes,1.8,Cloud Associate,2025-03-18,2025-01-21,90.09,derived_training_snapshot,Punjab,Ludhiana,Diploma,Urban,75.0,2,33.33,2025-03-01,36.75,communication cybersecurity linux,1
TRN-SIH26135-000036,Networking,Digital India Centre,12,99.9,79.3,No,Yes,2.1,Support Engineer,2025-03-31,2025-01-06,88.57,derived_training_snapshot,Odisha,Khordha,ITI,Urban,100.0,3,0.0,2025-03-01,51.39,digital_marketing java machine_learning,1
TRN-SIH26135-000037,Cloud Computing,SkillForge Institute,16,82.8,80.3,Yes,Yes,1.8,Cloud Associate,2025-04-13,2024-12-22,81.42,derived_training_snapshot,Punjab,Jalandhar,Diploma,Rural,100.0,3,0.0,2025-04-01,66.67,java machine_learning sql,1
TRN-SIH26135-000038,Cybersecurity,NextGen Academy,16,70.9,71.0,Yes,No,2.1,Cybersecurity Associate,2025-04-26,2025-01-04,70.96,derived_training_snapshot,Kerala,Kochi,Graduate,Urban,100.0,3,0.0,2025-04-01,74.31,accounting data_analysis machine_learning,1
TRN-SIH26135-000039,Electrical Technician,NextGen Academy,8,100.0,77.6,Yes,Yes,3.6,Technician,2025-05-09,2025-03-14,87.68,derived_training_snapshot,Telangana,Hyderabad,Diploma,Urban,55.0,2,33.33,2025-05-01,50.89,autocad data_analysis linux,1
TRN-SIH26135-000040,Electrical Technician,NextGen Academy,24,82.6,72.1,Yes,Yes,2.0,Technician,2025-05-22,2024-12-05,76.83,derived_training_snapshot,Rajasthan,Kota,Graduate,Rural,100.0,3,0.0,2025-05-01,34.62,healthcare_operations java react,1
TRN-SIH26135-000041,Graphic Design,Udaan Skills,6,57.8,60.4,Yes,No,0.7,Graphic Designer,2025-06-04,2025-04-23,59.23,derived_training_snapshot,West Bengal,Siliguri,Graduate,Urban,81.29,2,33.33,2025-06-01,27.34,aws excel python,1
TRN-SIH26135-000042,Machine Learning,Pragati Learning Hub,20,81.8,61.2,Yes,Yes,0.8,Data Analyst,2025-06-17,2025-01-28,70.47,derived_training_snapshot,Kerala,Kozhikode,Diploma,Urban,100.0,3,0.0,2025-06-01,42.18,healthcare_operations linux react,1
TRN-SIH26135-000043,Cloud Computing,Empower Skills Institute,6,65.5,76.5,No,No,3.0,Cloud Associate,2025-06-30,2025-05-19,71.55,derived_training_snapshot,Uttar Pradesh,Kanpur,Graduate,Rural,100.0,3,0.0,2025-06-01,56.41,excel healthcare_operations python,0
TRN-SIH26135-000044,Accounting & GST,SkillForge Institute,12,100.0,65.3,Yes,Yes,0.8,Account Executive,2025-07-13,2025-04-20,80.91,derived_training_snapshot,Tamil Nadu,Coimbatore,Diploma,Urban,50.87,2,33.33,2025-07-01,37.14,accounting power_bi python,1
TRN-SIH26135-000045,Web Development,Odisha Skill Centre,24,76.6,77.0,Yes,No,7.3,Web Developer,2025-07-26,2025-02-08,76.82,derived_training_snapshot,Odisha,Sundargarh,Graduate,Urban,100.0,3,0.0,2025-07-01,48.19,azure digital_marketing excel,1
TRN-SIH26135-000046,Electrical Technician,National Training Network,12,92.0,91.0,Yes,No,1.4,Technician,2025-08-08,2025-05-16,91.45,derived_training_snapshot,Bihar,Muzaffarpur,10th,Rural,100.0,3,0.0,2025-08-01,46.29,accounting data_analysis linux,1
TRN-SIH26135-000047,Networking,FutureWorks Training,20,52.6,61.6,No,No,2.4,Support Engineer,2025-08-21,2025-04-03,57.55,derived_training_snapshot,Karnataka,Mangaluru,Diploma,Rural,70.5,2,33.33,2025-08-01,21.8,accounting machine_learning networking,0
TRN-SIH26135-000048,Advanced Java Development,National Training Network,20,66.5,73.2,Yes,Yes,2.0,Software Developer,2025-09-03,2025-04-16,70.19,derived_training_snapshot,Punjab,Ludhiana,Graduate,Urban,49.09,1,66.67,2025-09-01,64.77,communication java sql,1
TRN-SIH26135-000049,Web Development,SkillForge Institute,8,83.9,81.3,Yes,No,2.6,Web Developer,2025-09-16,2025-07-22,82.47,derived_training_snapshot,Uttar Pradesh,Agra,12th,Rural,48.93,1,66.67,2025-09-01,33.33,python react sql,1
TRN-SIH26135-000050,Mobile App Development,Empower Skills Institute,12,79.7,95.3,No,No,5.0,Software Developer,2025-09-29,2025-07-07,88.28,derived_training_snapshot,Kerala,Kozhikode,Diploma,Rural,100.0,3,0.0,2025-09-01,64.38,healthcare_operations linux sales,1
TRN-SIH26135-000051,Cloud Computing,NSDC Partner Hub,12,64.6,56.6,No,No,0.4,Cloud Associate,2025-10-12,2025-07-20,60.2,derived_training_snapshot,Kerala,Kozhikode,10th,Rural,100.0,3,0.0,2025-10-01,45.03,cybersecurity javascript machine_learning,0
TRN-SIH26135-000052,Machine Learning,National Training Network,8,68.4,97.8,Yes,No,3.1,Data Analyst,2025-10-25,2025-08-30,84.57,derived_training_snapshot,Maharashtra,Nagpur,12th,Rural,61.6,2,33.33,2025-10-01,21.62,cybersecurity javascript sql,1
TRN-SIH26135-000053,Electrical Technician,Udaan Skills,24,55.2,31.3,Yes,No,0.9,Technician,2025-11-07,2025-05-23,42.06,derived_training_snapshot,Tamil Nadu,Coimbatore,Graduate,Urban,100.0,3,0.0,2025-11-01,24.27,communication digital_marketing javascript,0
TRN-SIH26135-000054,Healthcare Assistant,Digital India Centre,24,63.9,66.9,Yes,Yes,1.9,Healthcare Assistant,2025-11-20,2025-06-05,65.55,derived_training_snapshot,Karnataka,Hubballi,10th,Urban,100.0,3,0.0,2025-11-01,53.85,azure linux networking,0
TRN-SIH26135-000055,Electrical Technician,Empower Skills Institute,12,89.0,90.4,Yes,No,0.9,Technician,2025-12-03,2025-09-10,89.77,derived_training_snapshot,Karnataka,Mangaluru,12th,Urban,100.0,3,0.0,2025-12-01,67.47,linux power_bi react,1
TRN-SIH26135-000056,Cloud Computing,Udaan Skills,12,49.5,76.6,Yes,Yes,1.0,Cloud Associate,2025-12-16,2025-09-23,64.41,derived_training_snapshot,Odisha,Sundargarh,12th,Rural,72.65,2,33.33,2025-12-01,43.21,azure communication healthcare_operations,1
TRN-SIH26135-000057,Healthcare Assistant,NSDC Partner Hub,12,89.1,53.5,Yes,No,2.2,Healthcare Assistant,2024-01-09,2023-10-17,69.52,derived_training_snapshot,Gujarat,Rajkot,Graduate,Urban,100.0,3,0.0,2024-01-01,35.62,accounting machine_learning sql,1
TRN-SIH26135-000058,Web Development,Pragati Learning Hub,8,94.4,70.6,No,Yes,0.3,Web Developer,2024-01-22,2023-11-27,81.31,derived_training_snapshot,West Bengal,Howrah,ITI,Urban,100.0,3,0.0,2024-01-01,46.15,data_analysis java python,0
TRN-SIH26135-000059,Data Analytics,NextGen Academy,8,52.1,63.0,Yes,Yes,1.9,Data Analyst,2024-02-04,2023-12-10,58.1,derived_training_snapshot,Uttar Pradesh,Lucknow,10th,Urban,100.0,3,0.0,2024-02-01,63.41,autocad healthcare_operations machine_learning,1
TRN-SIH26135-000060,Graphic Design,NextGen Academy,16,69.5,62.6,No,No,0.5,Graphic Designer,2024-02-17,2023-10-28,65.71,derived_training_snapshot,Uttar Pradesh,Lucknow,Graduate,Rural,100.0,3,0.0,2024-02-01,32.93,autocad data_analysis sql,0
TRN-SIH26135-000061,Graphic Design,TechSkill Academy,8,93.1,78.8,No,No,1.2,Graphic Designer,2024-03-01,2024-01-05,85.23,derived_training_snapshot,Bihar,Gaya,ITI,Rural,76.58,2,33.33,2024-03-01,26.72,autocad excel networking,0
TRN-SIH26135-000062,Cloud Computing,SkillForge Institute,6,41.6,69.3,Yes,Yes,1.2,Cloud Associate,2024-03-14,2024-02-01,56.84,derived_training_snapshot,Uttar Pradesh,Agra,Postgraduate,Urban,100.0,3,0.0,2024-03-01,48.3,accounting javascript python,1
TRN-SIH26135-000063,Graphic Design,Pragati Learning Hub,20,74.9,58.2,Yes,Yes,2.0,Graphic Designer,2024-03-27,2023-11-08,65.72,derived_training_snapshot,Tamil Nadu,Salem,12th,Rural,70.06,2,33.33,2024-03-01,71.11,communication machine_learning power_bi,0
TRN-SIH26135-000064,Graphic Design,Digital India Centre,12,94.2,76.8,Yes,Yes,0.5,Graphic Designer,2024-04-09,2024-01-16,84.63,derived_training_snapshot,Bihar,Patna,Postgraduate,Rural,100.0,3,0.0,2024-04-01,41.38,cybersecurity javascript linux,1
TRN-SIH26135-000065,Machine Learning,FutureWorks Training,8,76.8,58.2,No,No,0.1,Data Analyst,2024-04-22,2024-02-26,66.57,derived_training_snapshot,Tamil Nadu,Chennai,Diploma,Rural,100.0,3,0.0,2024-04-01,40.19,autocad aws machine_learning,0
TRN-SIH26135-000066,Graphic Design,TechSkill Academy,20,60.6,84.1,Yes,No,3.7,Graphic Designer,2024-05-05,2023-12-17,73.53,derived_training_snapshot,Telangana,Nizamabad,Diploma,Rural,100.0,3,0.0,2024-05-01,38.46,linux power_bi react,1
TRN-SIH26135-000067,Data Analytics,FutureWorks Training,16,78.2,92.9,Yes,Yes,2.6,Data Analyst,2024-05-18,2024-01-27,86.29,derived_training_snapshot,Punjab,Ludhiana,12th,Rural,100.0,3,0.0,2024-05-01,52.94,autocad azure data_analysis,1
TRN-SIH26135-000068,Cloud Computing,National Training Network,8,76.8,87.3,Yes,Yes,0.1,Cloud Associate,2024-05-31,2024-04-05,82.58,derived_training_snapshot,Tamil Nadu,Coimbatore,ITI,Urban,60.0,2,33.33,2024-05-01,43.51,aws networking power_bi,1
TRN-SIH26135-000069,Networking,FutureWorks Training,12,67.3,68.5,Yes,No,1.0,Support Engineer,2024-06-13,2024-03-21,67.96,derived_training_snapshot,Odisha,Khordha,ITI,Urban,100.0,3,0.0,2024-06-01,34.76,aws python react,1
TRN-SIH26135-000070,Machine Learning,Empower Skills Institute,8,82.6,77.1,Yes,No,1.9,Data Analyst,2024-06-26,2024-05-01,79.58,derived_training_snapshot,Karnataka,Bengaluru,Graduate,Rural,100.0,3,0.0,2024-06-01,61.74,accounting digital_marketing healthcare_operations,1
TRN-SIH26135-000071,Electrical Technician,Pragati Learning Hub,20,61.5,86.7,No,Yes,2.2,Technician,2024-07-09,2024-02-20,75.36,derived_training_snapshot,Kerala,Thiruvananthapuram,12th,Urban,100.0,3,0.0,2024-07-01,56.47,accounting communication sql,1
TRN-SIH26135-000072,Healthcare Assistant,TechSkill Academy,16,86.6,63.0,Yes,Yes,2.9,Healthcare Assistant,2024-07-22,2024-04-01,73.62,derived_training_snapshot,Maharashtra,Nagpur,Diploma,Urban,62.89,1,66.67,2024-07-01,32.71,communication digital_marketing healthcare_operations,1
TRN-SIH26135-000073,Healthcare Assistant,Odisha Skill Centre,6,73.7,78.0,Yes,No,1.7,Healthcare Assistant,2024-08-04,2024-06-23,76.06,derived_training_snapshot,Karnataka,Hubballi,Graduate,Urban,100.0,3,0.0,2024-08-01,27.66,accounting javascript react,1
TRN-SIH26135-000074,Electrical Technician,SkillForge Institute,8,68.1,70.0,Yes,No,2.5,Technician,2024-08-17,2024-06-22,69.14,derived_training_snapshot,West Bengal,Howrah,12th,Urban,64.9,2,33.33,2024-08-01,53.9,autocad data_analysis sql,0
TRN-SIH26135-000075,Digital Marketing,SkillForge Institute,6,71.1,87.2,Yes,Yes,2.9,Digital Marketing Executive,2024-08-30,2024-07-19,79.96,derived_training_snapshot,Uttar Pradesh,Varanasi,Graduate,Urban,4.38,0,100.0,2024-08-01,63.74,communication digital_marketing excel,1
TRN-SIH26135-000076,Electrical Technician,Udaan Skills,6,89.5,77.4,Yes,Yes,2.2,Technician,2024-09-12,2024-08-01,82.84,derived_training_snapshot,Karnataka,Hubballi,12th,Rural,100.0,3,0.0,2024-09-01,67.92,cybersecurity digital_marketing java,1
TRN-SIH26135-000077,Electrical Technician,NSDC Partner Hub,12,71.1,73.4,No,No,1.5,Technician,2024-09-25,2024-07-03,72.37,derived_training_snapshot,Telangana,Warangal,12th,Rural,56.86,2,33.33,2024-09-01,59.38,autocad communication cybersecurity,1
TRN-SIH26135-000078,Cloud Computing,Empower Skills Institute,20,67.9,74.9,No,Yes,1.6,Cloud Associate,2024-10-08,2024-05-21,71.75,derived_training_snapshot,Maharashtra,Pune,10th,Urban,65.14,2,33.33,2024-10-01,36.36,azure javascript machine_learning,1
TRN-SIH26135-000079,Data Analytics,Udaan Skills,24,72.1,68.0,Yes,No,1.8,Data Analyst,2024-10-21,2024-05-06,69.84,derived_training_snapshot,Gujarat,Rajkot,Diploma,Urban,67.94,2,33.33,2024-10-01,50.0,aws data_analysis python,1
TRN-SIH26135-000080,Accounting & GST,FutureWorks Training,8,100.0,100.0,Yes,No,0.9,Account Executive,2024-11-03,2024-09-08,100.0,derived_training_snapshot,Uttar Pradesh,Lucknow,10th,Urban,100.0,3,0.0,2024-11-01,43.53,cybersecurity power_bi sql,1
TRN-SIH26135-000081,Mobile App Development,TechSkill Academy,6,62.1,72.0,No,Yes,2.8,Software Developer,2024-11-16,2024-10-05,67.55,derived_training_snapshot,Bihar,Patna,Graduate,Urban,100.0,3,0.0,2024-11-01,30.91,data_analysis power_bi react,1
TRN-SIH26135-000082,Accounting & GST,Pragati Learning Hub,6,90.9,85.0,Yes,Yes,2.1,Account Executive,2024-11-29,2024-10-18,87.66,derived_training_snapshot,Karnataka,Bengaluru,Diploma,Rural,70.86,2,33.33,2024-11-01,65.79,excel react sql,1
TRN-SIH26135-000083,Python Programming,National Training Network,6,88.8,65.2,No,Yes,1.4,Software Developer,2024-12-12,2024-10-31,75.82,derived_training_snapshot,West Bengal,Siliguri,10th,Rural,100.0,3,0.0,2024-12-01,21.31,autocad communication networking,0
TRN-SIH26135-000084,Cloud Computing,NextGen Academy,6,72.4,88.3,Yes,No,2.9,Cloud Associate,2024-12-25,2024-11-13,81.15,derived_training_snapshot,Kerala,Kochi,Graduate,Urban,67.47,2,33.33,2024-12-01,33.96,autocad azure machine_learning,1
TRN-SIH26135-000085,Python Programming,Udaan Skills,12,67.1,65.6,Yes,No,0.4,Software Developer,2025-01-07,2024-10-15,66.27,derived_training_snapshot,Rajasthan,Jodhpur,Postgraduate,Urban,100.0,3,0.0,2025-01-01,52.08,aws communication power_bi,1
TRN-SIH26135-000086,Retail Operations,Digital India Centre,6,85.5,84.3,Yes,No,3.6,Sales Executive,2025-01-20,2024-12-09,84.84,derived_training_snapshot,Uttar Pradesh,Varanasi,12th,Rural,100.0,3,0.0,2025-01-01,40.21,azure healthcare_operations javascript,1
TRN-SIH26135-000087,Advanced Java Development,NSDC Partner Hub,20,88.5,82.0,Yes,No,2.5,Software Developer,2025-02-02,2024-09-15,84.93,derived_training_snapshot,West Bengal,Howrah,12th,Urban,100.0,3,0.0,2025-02-01,28.72,cybersecurity javascript machine_learning,1
TRN-SIH26135-000088,Graphic Design,Digital India Centre,24,86.1,64.5,No,No,1.5,Graphic Designer,2025-02-15,2024-08-31,74.22,derived_training_snapshot,Telangana,Warangal,ITI,Rural,100.0,3,0.0,2025-02-01,21.71,linux react sales,1
TRN-SIH26135-000089,Graphic Design,Udaan Skills,24,89.7,75.0,No,No,1.4,Graphic Designer,2025-02-28,2024-09-13,81.62,derived_training_snapshot,Kerala,Thiruvananthapuram,12th,Urban,66.91,2,33.33,2025-02-01,64.86,communication networking python,1
TRN-SIH26135-000090,Electrical Technician,Empower Skills Institute,6,88.9,100.0,No,Yes,2.1,Technician,2025-03-13,2025-01-30,95.01,derived_training_snapshot,Kerala,Kochi,Graduate,Urban,75.0,2,33.33,2025-03-01,50.38,azure excel machine_learning,1
TRN-SIH26135-000091,Data Analytics,Empower Skills Institute,8,81.1,74.0,Yes,No,2.0,Data Analyst,2025-03-26,2025-01-29,77.19,derived_training_snapshot,Karnataka,Hubballi,10th,Urban,100.0,3,0.0,2025-03-01,34.42,azure cybersecurity excel,1
TRN-SIH26135-000092,Digital Marketing,FutureWorks Training,20,79.7,86.2,Yes,No,1.5,Digital Marketing Executive,2025-04-08,2024-11-19,83.28,derived_training_snapshot,Kerala,Kozhikode,Graduate,Urban,100.0,3,0.0,2025-04-01,40.69,autocad javascript linux,1
TRN-SIH26135-000093,Cloud Computing,SkillForge Institute,8,73.5,58.0,Yes,Yes,1.6,Cloud Associate,2025-04-21,2025-02-24,64.98,derived_training_snapshot,Punjab,Jalandhar,Postgraduate,Urban,100.0,3,0.0,2025-04-01,66.67,digital_marketing excel sales,1
TRN-SIH26135-000094,Cloud Computing,Empower Skills Institute,12,76.1,97.4,Yes,No,0.8,Cloud Associate,2025-05-04,2025-02-09,87.81,derived_training_snapshot,Tamil Nadu,Chennai,Graduate,Rural,75.0,2,33.33,2025-05-01,26.61,healthcare_operations linux sql,1
TRN-SIH26135-000095,Digital Marketing,NextGen Academy,20,83.2,80.7,No,Yes,0.1,Digital Marketing Executive,2025-05-17,2024-12-28,81.83,derived_training_snapshot,Punjab,Amritsar,ITI,Urban,100.0,3,0.0,2025-05-01,39.81,javascript networking react,1
TRN-SIH26135-000096,Networking,Udaan Skills,6,48.1,82.8,Yes,No,2.7,Support Engineer,2025-05-30,2025-04-18,67.19,derived_training_snapshot,Telangana,Warangal,10th,Urban,100.0,3,0.0,2025-05-01,65.74,autocad aws react,1
TRN-SIH26135-000097,Cloud Computing,Digital India Centre,8,79.3,75.3,No,No,0.5,Cloud Associate,2025-06-12,2025-04-17,77.1,derived_training_snapshot,Maharashtra,Pune,ITI,Urban,100.0,3,0.0,2025-06-01,18.7,javascript machine_learning sql,0
