Employment_ID,Trainee_ID,Actual_Job_Role,Industry,Employment_Type,Start_Date,End_Date,Termination_Observed,Data_Origin
EMP-000050,TRN-SIH26135-000059,Cloud Associate,Government Services,Part-time,2024-04-07,,False,synthetic_derived
EMP-000051,TRN-SIH26135-000062,Support Engineer,Telecom,Full-time,2024-05-17,2024-08-05,True,synthetic_derived
EMP-000052,TRN-SIH26135-000064,Data Analyst,Telecom,Full-time,2024-06-13,2024-09-02,True,synthetic_derived
EMP-000053,TRN-SIH26135-000066,Digital Marketing Executive,Retail,Full-time,2024-07-10,,False,synthetic_derived
EMP-000054,TRN-SIH26135-000067,Sales Executive,Education,Apprenticeship,2024-07-24,,False,synthetic_derived
EMP-000055,TRN-SIH26135-000068,Software Developer,E-commerce,Contract,2024-08-07,,False,synthetic_derived
EMP-000056,TRN-SIH26135-000069,Sales Executive,Healthcare,Full-time,2024-08-21,2024-11-14,True,synthetic_derived
EMP-000057,TRN-SIH26135-000070,Web Developer,Banking & Finance,Full-time,2024-09-04,2024-11-29,True,synthetic_derived
EMP-000058,TRN-SIH26135-000071,Healthcare Assistant,Manufacturing,Full-time,2024-09-18,,False,synthetic_derived
EMP-000059,TRN-SIH26135-000072,Account Executive,Logistics,Self-employed,2024-10-02,,False,synthetic_derived
EMP-000060,TRN-SIH26135-000073,Web Developer,Manufacturing,Part-time,2024-10-16,2025-01-13,True,synthetic_derived
EMP-000061,TRN-SIH26135-000075,Software Developer,IT Services,Self-employed,2024-11-12,,False,synthetic_derived
EMP-000062,TRN-SIH26135-000076,Cloud Associate,Logistics,Full-time,2024-11-26,,False,synthetic_derived
EMP-000063,TRN-SIH26135-000077,Graphic Designer,Banking & Finance,Full-time,2024-12-10,,False,synthetic_derived
EMP-000064,TRN-SIH26135-000078,Support Engineer,Healthcare,Contract,2024-12-24,,False,synthetic_derived
EMP-000065,TRN-SIH26135-000079,Software Developer,Healthcare,Self-employed,2025-01-07,,False,synthetic_derived
EMP-000066,TRN-SIH26135-000080,Software Developer,E-commerce,Full-time,2025-01-21,,False,synthetic_derived
EMP-000067,TRN-SIH26135-000081,Account Executive,Government Services,Full-time,2025-02-04,2025-05-11,True,synthetic_derived
EMP-000068,TRN-SIH26135-000082,Data Analyst,Telecom,Self-employed,2025-02-18,,False,synthetic_derived
EMP-000069,TRN-SIH26135-000084,Software Developer,Government Services,Part-time,2025-03-17,,False,synthetic_derived
EMP-000070,TRN-SIH26135-000085,Support Engineer,Banking & Finance,Contract,2025-03-31,,False,synthetic_derived
EMP-000071,TRN-SIH26135-000086,Cybersecurity Associate,Education,Full-time,2025-02-03,,False,synthetic_derived
EMP-000072,TRN-SIH26135-000087,Graphic Designer,Retail,Full-time,2025-02-17,,False,synthetic_derived
EMP-000073,TRN-SIH26135-000088,Software Developer,Logistics,Full-time,2025-03-03,,False,synthetic_derived
EMP-000074,TRN-SIH26135-000089,Software Developer,E-commerce,Full-time,2025-03-17,,False,synthetic_derived
EMP-000075,TRN-SIH26135-000090,Digital Marketing Executive,Education,Full-time,2025-03-31,,False,synthetic_derived
EMP-000076,TRN-SIH26135-000091,Account Executive,IT Services,Contract,2025-04-14,,False,synthetic_derived
EMP-000077,TRN-SIH26135-000092,Healthcare Assistant,Banking & Finance,Contract,2025-04-28,,False,synthetic_derived
EMP-000078,TRN-SIH26135-000093,Support Engineer,IT Services,Full-time,2025-05-12,,False,synthetic_derived
EMP-000079,TRN-SIH26135-000094,Software Developer,Healthcare,Self-employed,2025-05-26,,False,synthetic_derived
EMP-000080,TRN-SIH26135-000095,Sales Executive,Manufacturing,Full-time,2025-06-09,,False,synthetic_derived
EMP-000081,TRN-SIH26135-000096,Support Engineer,Telecom,Full-time,2025-06-23,,False,synthetic_derived
EMP-000082,TRN-SIH26135-000098,Support Engineer,E-commerce,Full-time,2025-07-20,,False,synthetic_derived
EMP-000083,TRN-SIH26135-000099,Web Developer,Education,Full-time,2025-08-03,,False,synthetic_derived
EMP-000084,TRN-SIH26135-000100,Data Analyst,Healthcare,Full-time,2025-08-17,,False,synthetic_derived
EMP-000085,TRN-SIH26135-000101,Cybersecurity Associate,Retail,Full-time,2025-08-31,,False,synthetic_derived
EMP-000086,TRN-SIH26135-000102,Data Analyst,Government Services,Part-time,2025-09-14,,False,synthetic_derived
EMP-000087,TRN-SIH26135-000103,Healthcare Assistant,Education,Full-time,2025-09-28,,False,synthetic_derived
EMP-000088,TRN-SIH26135-000104,Web Developer,IT Services,Self-employed,2025-10-12,,False,synthetic_derived
EMP-000089,TRN-SIH26135-000105,Graphic Designer,IT Services,Full-time,2025-10-26,,False,synthetic_derived
EMP-000090,TRN-SIH26135-000106,Graphic Designer,Education,Part-time,2025-11-09,,False,synthetic_derived
EMP-000091,TRN-SIH26135-000107,Healthcare Assistant,E-commerce,Apprenticeship,2025-11-23,,False,synthetic_derived
EMP-000092,TRN-SIH26135-000108,Web Developer,Manufacturing,Full-time,2025-12-07,,False,synthetic_derived
EMP-000093,TRN-SIH26135-000109,Support Engineer,Banking & Finance,Apprenticeship,2025-12-21,,False,synthetic_derived
EMP-000094,TRN-SIH26135-000110,Technician,Logistics,Full-time,2026-01-04,,False,synthetic_derived
EMP-000095,TRN-SIH26135-000111,Account Executive,E-commerce,Full-time,2026-01-18,,False,synthetic_derived
EMP-000096,TRN-SIH26135-000112,Web Developer,Education,Contract,2024-02-12,,False,synthetic_derived
EMP-000097,TRN-SIH26135-000113,Graphic Designer,IT Services,Self-employed,2024-02-26,,False,synthetic_derived
EMP-000098,TRN-SIH26135-000114,Technician,E-commerce,Apprenticeship,2024-03-11,,False,synthetic_derived
EMP-000099,TRN-SIH26135-000115,Web Developer,Telecom,Full-time,2024-03-25,,False,synthetic_derived
EMP-000100,TRN-SIH26135-000116,Healthcare Assistant,Banking & Finance,Apprenticeship,2024-04-08,,False,synthetic_derived
EMP-000101,TRN-SIH26135-000117,Software Developer,Government Services,Full-time,2024-04-22,,False,synthetic_derived
EMP-000102,TRN-SIH26135-000118,Web Developer,Logistics,Part-time,2024-05-06,,False,synthetic_derived
EMP-000103,TRN-SIH26135-000119,Healthcare Assistant,Education,Apprenticeship,2024-05-20,,False,synthetic_derived
EMP-000104,TRN-SIH26135-000121,Account Executive,E-commerce,Full-time,2024-06-16,,False,synthetic_derived
EMP-000105,TRN-SIH26135-000124,Technician,Logistics,Apprenticeship,2024-07-26,,False,synthetic_derived
EMP-000106,TRN-SIH26135-000125,Cloud Associate,IT Services,Part-time,2024-08-09,,False,synthetic_derived
EMP-000107,TRN-SIH26135-000126,Graphic Designer,Healthcare,Full-time,2024-08-23,,False,synthetic_derived
EMP-000108,TRN-SIH26135-000128,Graphic Designer,Healthcare,Full-time,2024-09-19,,False,synthetic_derived
EMP-000109,TRN-SIH26135-000129,Support Engineer,IT Services,Full-time,2024-10-03,,False,synthetic_derived
EMP-000110,TRN-SIH26135-000130,Web Developer,Retail,Full-time,2024-10-17,,False,synthetic_derived
EMP-000111,TRN-SIH26135-000131,Account Executive,Banking & Finance,Full-time,2024-10-31,,False,synthetic_derived
EMP-000112,TRN-SIH26135-000132,Data Analyst,E-commerce,Full-time,2024-11-14,,False,synthetic_derived
EMP-000113,TRN-SIH26135-000133,Sales Executive,Government Services,Full-time,2024-11-28,,False,synthetic_derived
EMP-000114,TRN-SIH26135-000134,Technician,Education,Contract,2024-12-12,,False,synthetic_derived
EMP-000115,TRN-SIH26135-000135,Support Engineer,Healthcare,Full-time,2024-12-26,,False,synthetic_derived
EMP-000116,TRN-SIH26135-000136,Cybersecurity Associate,Telecom,Full-time,2025-01-09,,False,synthetic_derived
EMP-000117,TRN-SIH26135-000137,Software Developer,Education,Contract,2025-01-23,,False,synthetic_derived
EMP-000118,TRN-SIH26135-000138,Support Engineer,IT Services,Self-employed,2025-02-06,2025-07-03,True,synthetic_derived
EMP-000119,TRN-SIH26135-000139,Software Developer,Retail,Full-time,2025-02-20,,False,synthetic_derived
EMP-000120,TRN-SIH26135-000140,Healthcare Assistant,Manufacturing,Contract,2025-03-06,,False,synthetic_derived
EMP-000121,TRN-SIH26135-000142,Graphic Designer,Retail,Full-time,2025-04-02,2025-08-30,True,synthetic_derived
EMP-000122,TRN-SIH26135-000143,Support Engineer,Telecom,Self-employed,2025-04-16,,False,synthetic_derived
EMP-000123,TRN-SIH26135-000144,Digital Marketing Executive,Telecom,Full-time,2025-04-30,,False,synthetic_derived
EMP-000124,TRN-SIH26135-000145,Healthcare Assistant,IT Services,Self-employed,2025-05-14,,False,synthetic_derived
EMP-000125,TRN-SIH26135-000146,Technician,Manufacturing,Self-employed,2025-05-28,,False,synthetic_derived
EMP-000126,TRN-SIH26135-000147,Digital Marketing Executive,Telecom,Apprenticeship,2025-06-11,,False,synthetic_derived
EMP-000127,TRN-SIH26135-000148,Healthcare Assistant,E-commerce,Full-time,2025-06-25,,False,synthetic_derived
EMP-000128,TRN-SIH26135-000151,Web Developer,Healthcare,Contract,2025-08-04,,False,synthetic_derived
EMP-000129,TRN-SIH26135-000152,Data Analyst,Government Services,Full-time,2025-08-18,,False,synthetic_derived
EMP-000130,TRN-SIH26135-000153,Cloud Associate,Logistics,Full-time,2025-09-01,,False,synthetic_derived
EMP-000131,TRN-SIH26135-000155,Software Developer,Telecom,Full-time,2025-09-28,,False,synthetic_derived
EMP-000132,TRN-SIH26135-000156,Cybersecurity Associate,IT Services,Part-time,2025-10-12,,False,synthetic_derived
EMP-000133,TRN-SIH26135-000159,Technician,Healthcare,Full-time,2025-11-21,,False,synthetic_derived
EMP-000134,TRN-SIH26135-000163,Account Executive,Logistics,Part-time,2026-01-13,,False,synthetic_derived
EMP-000135,TRN-SIH26135-000164,Graphic Designer,Telecom,Full-time,2026-01-27,,False,synthetic_derived
EMP-000136,TRN-SIH26135-000165,Account Executive,Manufacturing,Part-time,2026-02-10,2026-07-25,True,synthetic_derived
EMP-000137,TRN-SIH26135-000167,Cybersecurity Associate,Education,Full-time,2026-03-09,,False,synthetic_derived
EMP-000138,TRN-SIH26135-000169,Account Executive,Telecom,Full-time,2024-04-15,,False,synthetic_derived
EMP-000139,TRN-SIH26135-000170,Graphic Designer,Manufacturing,Apprenticeship,2024-04-29,,False,synthetic_derived
EMP-000140,TRN-SIH26135-000171,Digital Marketing Executive,Telecom,Full-time,2024-05-13,,False,synthetic_derived
EMP-000141,TRN-SIH26135-000172,Account Executive,Telecom,Part-time,2024-03-18,,False,synthetic_derived
EMP-000142,TRN-SIH26135-000173,Technician,Logistics,Full-time,2024-04-01,2024-09-19,True,synthetic_derived
EMP-000143,TRN-SIH26135-000174,Sales Executive,IT Services,Full-time,2024-04-15,,False,synthetic_derived
EMP-000144,TRN-SIH26135-000175,Sales Executive,Education,Self-employed,2024-04-29,,False,synthetic_derived
EMP-000145,TRN-SIH26135-000176,Cybersecurity Associate,Logistics,Full-time,2024-05-13,,False,synthetic_derived
EMP-000146,TRN-SIH26135-000177,Sales Executive,IT Services,Full-time,2024-05-27,,False,synthetic_derived
EMP-000147,TRN-SIH26135-000178,Digital Marketing Executive,Telecom,Part-time,2024-06-10,,False,synthetic_derived
EMP-000148,TRN-SIH26135-000179,Technician,IT Services,Part-time,2024-06-24,2024-07-26,True,synthetic_derived
EMP-000149,TRN-SIH26135-000180,Data Analyst,Retail,Apprenticeship,2024-07-08,,False,synthetic_derived
EMP-000150,TRN-SIH26135-000181,Account Executive,Telecom,Full-time,2024-07-22,,False,synthetic_derived
EMP-000151,TRN-SIH26135-000182,Cybersecurity Associate,E-commerce,Self-employed,2024-08-05,,False,synthetic_derived
EMP-000152,TRN-SIH26135-000183,Cloud Associate,Logistics,Full-time,2024-08-19,2024-09-24,True,synthetic_derived
EMP-000153,TRN-SIH26135-000184,Digital Marketing Executive,Telecom,Apprenticeship,2024-09-02,,False,synthetic_derived
EMP-000154,TRN-SIH26135-000185,Data Analyst,Banking & Finance,Apprenticeship,2024-09-16,,False,synthetic_derived
EMP-000155,TRN-SIH26135-000187,Account Executive,Healthcare,Contract,2024-10-13,,False,synthetic_derived
EMP-000156,TRN-SIH26135-000188,Account Executive,Healthcare,Apprenticeship,2024-10-27,,False,synthetic_derived
EMP-000157,TRN-SIH26135-000189,Digital Marketing Executive,E-commerce,Full-time,2024-11-10,,False,synthetic_derived
EMP-000158,TRN-SIH26135-000190,Account Executive,IT Services,Full-time,2024-11-24,,False,synthetic_derived
EMP-000159,TRN-SIH26135-000191,Support Engineer,Banking & Finance,Full-time,2024-12-08,2025-01-20,True,synthetic_derived
EMP-000160,TRN-SIH26135-000192,Account Executive,IT Services,Part-time,2024-12-22,,False,synthetic_derived
EMP-000161,TRN-SIH26135-000193,Healthcare Assistant,IT Services,Full-time,2025-01-05,,False,synthetic_derived
EMP-000162,TRN-SIH26135-000194,Cloud Associate,Education,Full-time,2025-01-19,,False,synthetic_derived
EMP-000163,TRN-SIH26135-000195,Technician,Healthcare,Full-time,2025-02-02,2025-03-21,True,synthetic_derived
EMP-000164,TRN-SIH26135-000196,Cybersecurity Associate,Healthcare,Full-time,2025-02-16,,False,synthetic_derived
EMP-000165,TRN-SIH26135-000197,Graphic Designer,E-commerce,Apprenticeship,2025-03-02,,False,synthetic_derived
EMP-000166,TRN-SIH26135-000198,Cybersecurity Associate,Healthcare,Contract,2025-03-16,,False,synthetic_derived
EMP-000167,TRN-SIH26135-000199,Cybersecurity Associate,Banking & Finance,Contract,2025-03-30,,False,synthetic_derived
EMP-000168,TRN-SIH26135-000200,Account Executive,IT Services,Self-employed,2025-04-13,,False,synthetic_derived
EMP-000169,TRN-SIH26135-000201,Web Developer,Manufacturing,Full-time,2025-04-27,,False,synthetic_derived
EMP-000170,TRN-SIH26135-000202,Support Engineer,Retail,Part-time,2025-05-11,,False,synthetic_derived
EMP-000171,TRN-SIH26135-000203,Healthcare Assistant,Retail,Full-time,2025-05-25,,False,synthetic_derived
EMP-000172,TRN-SIH26135-000204,Cloud Associate,IT Services,Contract,2025-06-08,,False,synthetic_derived
EMP-000173,TRN-SIH26135-000205,Healthcare Assistant,Education,Full-time,2025-06-22,2025-08-18,True,synthetic_derived
EMP-000174,TRN-SIH26135-000206,Digital Marketing Executive,Retail,Contract,2025-07-06,,False,synthetic_derived
EMP-000175,TRN-SIH26135-000208,Software Developer,Telecom,Full-time,2025-08-02,2025-09-30,True,synthetic_derived
EMP-000176,TRN-SIH26135-000209,Cybersecurity Associate,Education,Contract,2025-08-16,,False,synthetic_derived
EMP-000177,TRN-SIH26135-000210,Graphic Designer,Manufacturing,Full-time,2025-08-30,,False,synthetic_derived
EMP-000178,TRN-SIH26135-000211,Support Engineer,E-commerce,Full-time,2025-09-13,2025-11-14,True,synthetic_derived
EMP-000179,TRN-SIH26135-000212,Cloud Associate,Retail,Full-time,2025-09-27,,False,synthetic_derived
EMP-000180,TRN-SIH26135-000213,Graphic Designer,Logistics,Part-time,2025-10-11,,False,synthetic_derived
EMP-000181,TRN-SIH26135-000214,Account Executive,IT Services,Full-time,2025-10-25,,False,synthetic_derived
EMP-000182,TRN-SIH26135-000215,Cybersecurity Associate,Retail,Full-time,2025-11-08,,False,synthetic_derived
EMP-000183,TRN-SIH26135-000216,Graphic Designer,Logistics,Apprenticeship,2025-11-22,2026-01-28,True,synthetic_derived
EMP-000184,TRN-SIH26135-000217,Technician,Logistics,Self-employed,2025-12-06,,False,synthetic_derived
EMP-000185,TRN-SIH26135-000218,Cloud Associate,Retail,Contract,2025-12-20,,False,synthetic_derived
EMP-000186,TRN-SIH26135-000219,Web Developer,Education,Full-time,2026-01-03,,False,synthetic_derived
EMP-000187,TRN-SIH26135-000220,Cybersecurity Associate,Retail,Apprenticeship,2026-01-17,,False,synthetic_derived
EMP-000188,TRN-SIH26135-000221,Healthcare Assistant,IT Services,Full-time,2026-01-31,,False,synthetic_derived
EMP-000189,TRN-SIH26135-000222,Software Developer,Logistics,Full-time,2026-02-14,,False,synthetic_derived
EMP-000190,TRN-SIH26135-000224,Healthcare Assistant,Government Services,Full-time,2024-03-23,,False,synthetic_derived
EMP-000191,TRN-SIH26135-000226,Cloud Associate,Retail,Full-time,2024-04-19,,False,synthetic_derived
EMP-000192,TRN-SIH26135-000227,Sales Executive,Telecom,Contract,2024-05-03,,False,synthetic_derived
EMP-000193,TRN-SIH26135-000228,Digital Marketing Executive,Retail,Full-time,2024-05-17,,False,synthetic_derived
EMP-000194,TRN-SIH26135-000229,Technician,Healthcare,Full-time,2024-05-31,,False,synthetic_derived
EMP-000195,TRN-SIH26135-000230,Healthcare Assistant,Manufacturing,Part-time,2024-06-14,,False,synthetic_derived
EMP-000196,TRN-SIH26135-000231,Web Developer,E-commerce,Self-employed,2024-06-28,,False,synthetic_derived
EMP-000197,TRN-SIH26135-000233,Data Analyst,Logistics,Full-time,2024-07-25,,False,synthetic_derived
EMP-000198,TRN-SIH26135-000234,Technician,Healthcare,Full-time,2024-08-08,,False,synthetic_derived
EMP-000199,TRN-SIH26135-000235,Software Developer,Healthcare,Full-time,2024-08-22,,False,synthetic_derived
EMP-000200,TRN-SIH26135-000236,Digital Marketing Executive,Healthcare,Full-time,2024-09-05,,False,synthetic_derived
EMP-000201,TRN-SIH26135-000237,Support Engineer,Education,Apprenticeship,2024-09-19,,False,synthetic_derived
EMP-000202,TRN-SIH26135-000238,Healthcare Assistant,Government Services,Full-time,2024-10-03,,False,synthetic_derived
EMP-000203,TRN-SIH26135-000239,Cybersecurity Associate,IT Services,Full-time,2024-10-17,,False,synthetic_derived
EMP-000204,TRN-SIH26135-000240,Data Analyst,Government Services,Full-time,2024-10-31,2025-01-27,True,synthetic_derived
EMP-000205,TRN-SIH26135-000241,Web Developer,Telecom,Contract,2024-11-14,,False,synthetic_derived
EMP-000206,TRN-SIH26135-000242,Cybersecurity Associate,Government Services,Full-time,2024-11-28,,False,synthetic_derived
EMP-000207,TRN-SIH26135-000244,Data Analyst,Logistics,Full-time,2024-12-25,,False,synthetic_derived
EMP-000208,TRN-SIH26135-000245,Support Engineer,Healthcare,Full-time,2025-01-08,2025-04-10,True,synthetic_derived
EMP-000209,TRN-SIH26135-000246,Support Engineer,Telecom,Contract,2025-01-22,,False,synthetic_derived
EMP-000210,TRN-SIH26135-000247,Cybersecurity Associate,Logistics,Full-time,2025-02-05,,False,synthetic_derived
EMP-000211,TRN-SIH26135-000248,Digital Marketing Executive,Government Services,Contract,2024-12-11,,False,synthetic_derived
EMP-000212,TRN-SIH26135-000249,Technician,Government Services,Self-employed,2024-12-25,,False,synthetic_derived
EMP-000213,TRN-SIH26135-000250,Software Developer,Telecom,Full-time,2025-01-08,,False,synthetic_derived
EMP-000214,TRN-SIH26135-000252,Web Developer,E-commerce,Full-time,2025-02-04,,False,synthetic_derived
EMP-000215,TRN-SIH26135-000253,Software Developer,Logistics,Part-time,2025-02-18,,False,synthetic_derived
EMP-000216,TRN-SIH26135-000254,Software Developer,Education,Full-time,2025-03-04,,False,synthetic_derived
EMP-000217,TRN-SIH26135-000255,Support Engineer,Logistics,Full-time,2025-03-18,,False,synthetic_derived
EMP-000218,TRN-SIH26135-000256,Data Analyst,Healthcare,Apprenticeship,2025-04-01,,False,synthetic_derived
EMP-000219,TRN-SIH26135-000257,Technician,Healthcare,Apprenticeship,2025-04-15,,False,synthetic_derived
EMP-000220,TRN-SIH26135-000258,Support Engineer,E-commerce,Full-time,2025-04-29,,False,synthetic_derived
EMP-000221,TRN-SIH26135-000259,Sales Executive,Manufacturing,Full-time,2025-05-13,2025-08-26,True,synthetic_derived
EMP-000222,TRN-SIH26135-000260,Technician,Banking & Finance,Full-time,2025-05-27,,False,synthetic_derived
EMP-000223,TRN-SIH26135-000261,Graphic Designer,Government Services,Full-time,2025-06-10,,False,synthetic_derived
EMP-000224,TRN-SIH26135-000262,Cybersecurity Associate,Education,Full-time,2025-06-24,,False,synthetic_derived
EMP-000225,TRN-SIH26135-000263,Sales Executive,Manufacturing,Apprenticeship,2025-07-08,,False,synthetic_derived
EMP-000226,TRN-SIH26135-000264,Sales Executive,E-commerce,Full-time,2025-07-22,,False,synthetic_derived
EMP-000227,TRN-SIH26135-000266,Healthcare Assistant,Logistics,Full-time,2025-08-18,,False,synthetic_derived
EMP-000228,TRN-SIH26135-000267,Account Executive,IT Services,Part-time,2025-09-01,,False,synthetic_derived
EMP-000229,TRN-SIH26135-000268,Software Developer,Telecom,Part-time,2025-09-15,,False,synthetic_derived
EMP-000230,TRN-SIH26135-000269,Healthcare Assistant,Banking & Finance,Part-time,2025-09-29,,False,synthetic_derived
EMP-000231,TRN-SIH26135-000270,Software Developer,Banking & Finance,Full-time,2025-10-13,,False,synthetic_derived
EMP-000232,TRN-SIH26135-000271,Account Executive,Education,Part-time,2025-10-27,,False,synthetic_derived
EMP-000233,TRN-SIH26135-000272,Digital Marketing Executive,Manufacturing,Contract,2025-11-10,,False,synthetic_derived
EMP-000234,TRN-SIH26135-000273,Software Developer,E-commerce,Full-time,2025-11-24,,False,synthetic_derived
EMP-000235,TRN-SIH26135-000275,Graphic Designer,Government Services,Full-time,2025-12-21,,False,synthetic_derived
EMP-000236,TRN-SIH26135-000276,Cybersecurity Associate,Manufacturing,Full-time,2026-01-04,,False,synthetic_derived
EMP-000237,TRN-SIH26135-000277,Web Developer,E-commerce,Self-employed,2026-01-18,,False,synthetic_derived
EMP-000238,TRN-SIH26135-000278,Software Developer,Telecom,Apprenticeship,2024-02-12,,False,synthetic_derived
EMP-000239,TRN-SIH26135-000279,Graphic Designer,Logistics,Contract,2024-02-26,,False,synthetic_derived
EMP-000240,TRN-SIH26135-000280,Cybersecurity Associate,Logistics,Full-time,2024-03-11,,False,synthetic_derived
EMP-000241,TRN-SIH26135-000281,Support Engineer,Banking & Finance,Full-time,2024-03-25,,False,synthetic_derived
EMP-000242,TRN-SIH26135-000282,Web Developer,Retail,Full-time,2024-04-08,,False,synthetic_derived
EMP-000243,TRN-SIH26135-000283,Digital Marketing Executive,Telecom,Apprenticeship,2024-04-22,,False,synthetic_derived
