Trainee_ID,Employment_ID,Snapshot_Date,Snapshot_Observed_On,Employment_Duration_Months,Current_Salary_LPA,Job_History_Count,Engagement_Score,Attendance_Percent,Assessment_Score,Skill_Gap_Score,Demand_Score,Employment_Type,Industry,Actual_Job_Role,Target_Job_Role,Skills_Text,Attrition_Target,Data_Origin
TRN-SIH26135-000055,EMP-000047,2026-04-01,2026-04-02,1.97,4.29,0,6.23,89.0,90.4,100.0,68.47,Part-time,Logistics,Sales Executive,Technician,linux power_bi react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000056,EMP-000048,2026-05-01,2026-05-16,2.96,4.29,1,5.67,49.5,76.6,72.65,51.72,Full-time,E-commerce,Support Engineer,Cloud Associate,azure communication healthcare_operations,0,synthetic_longitudinal_derivation
TRN-SIH26135-000057,EMP-000049,2024-07-01,2024-07-09,3.94,4.69,2,5.57,89.1,53.5,100.0,48.7,Full-time,Telecom,Healthcare Assistant,Healthcare Assistant,accounting machine_learning sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000059,EMP-000050,2024-09-01,2024-09-04,4.93,4.02,1,4.56,52.1,63.0,100.0,44.86,Part-time,Government Services,Cloud Associate,Data Analyst,autocad healthcare_operations machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000062,EMP-000051,2024-06-01,2024-06-16,0.99,5.04,1,4.89,41.6,69.3,100.0,20.39,Full-time,Telecom,Support Engineer,Cloud Associate,accounting javascript python,1,synthetic_longitudinal_derivation
TRN-SIH26135-000064,EMP-000052,2024-08-01,2024-08-12,1.97,4.57,0,5.78,94.2,76.8,100.0,46.24,Full-time,Telecom,Data Analyst,Graphic Designer,cybersecurity javascript linux,1,synthetic_longitudinal_derivation
TRN-SIH26135-000066,EMP-000053,2024-10-01,2024-10-08,2.96,4.49,3,5.81,60.6,84.1,100.0,46.05,Full-time,Retail,Digital Marketing Executive,Graphic Designer,linux power_bi react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000067,EMP-000054,2024-11-01,2024-11-21,3.94,4.5,2,6.29,78.2,92.9,100.0,32.74,Apprenticeship,Education,Sales Executive,Data Analyst,autocad azure data_analysis,0,synthetic_longitudinal_derivation
TRN-SIH26135-000068,EMP-000055,2025-01-01,2025-01-04,4.93,4.57,0,5.81,76.8,87.3,60.0,28.97,Contract,E-commerce,Software Developer,Cloud Associate,aws networking power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000069,EMP-000056,2024-09-01,2024-09-20,0.99,3.7,1,5.53,67.3,68.5,100.0,38.92,Full-time,Healthcare,Sales Executive,Support Engineer,aws python react,1,synthetic_longitudinal_derivation
TRN-SIH26135-000070,EMP-000057,2024-11-01,2024-11-03,1.97,4.74,1,5.51,82.6,77.1,100.0,36.47,Full-time,Banking & Finance,Web Developer,Data Analyst,accounting digital_marketing healthcare_operations,1,synthetic_longitudinal_derivation
TRN-SIH26135-000071,EMP-000058,2024-12-01,2024-12-17,2.96,5.07,2,5.72,61.5,86.7,100.0,60.83,Full-time,Manufacturing,Healthcare Assistant,Technician,accounting communication sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000072,EMP-000059,2025-01-01,2025-01-30,3.94,5.15,2,5.46,86.6,63.0,62.89,43.62,Self-employed,Logistics,Account Executive,Healthcare Assistant,communication digital_marketing healthcare_operations,0,synthetic_longitudinal_derivation
TRN-SIH26135-000075,EMP-000061,2024-12-01,2024-12-12,0.99,5.16,2,5.87,71.1,87.2,4.38,65.55,Self-employed,IT Services,Software Developer,Digital Marketing Executive,communication digital_marketing excel,0,synthetic_longitudinal_derivation
TRN-SIH26135-000076,EMP-000062,2025-01-01,2025-01-25,1.97,4.58,2,5.99,89.5,77.4,100.0,39.13,Full-time,Logistics,Cloud Associate,Technician,cybersecurity digital_marketing java,0,synthetic_longitudinal_derivation
TRN-SIH26135-000077,EMP-000063,2025-03-01,2025-03-10,2.96,4.27,1,5.89,71.1,73.4,56.86,64.15,Full-time,Banking & Finance,Graphic Designer,Technician,autocad communication cybersecurity,0,synthetic_longitudinal_derivation
TRN-SIH26135-000078,EMP-000064,2025-04-01,2025-04-23,3.94,4.55,1,5.41,67.9,74.9,65.14,44.83,Contract,Healthcare,Support Engineer,Cloud Associate,azure javascript machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000079,EMP-000065,2025-06-01,2025-06-06,4.93,5.0,1,4.96,72.1,68.0,67.94,27.47,Self-employed,Healthcare,Software Developer,Data Analyst,aws data_analysis python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000080,EMP-000066,2025-02-01,2025-02-20,0.99,5.27,0,6.32,100.0,100.0,100.0,49.06,Full-time,E-commerce,Software Developer,Account Executive,cybersecurity power_bi sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000081,EMP-000067,2025-04-01,2025-04-05,1.97,4.5,2,5.42,62.1,72.0,100.0,69.09,Full-time,Government Services,Account Executive,Software Developer,data_analysis power_bi react,1,synthetic_longitudinal_derivation
TRN-SIH26135-000082,EMP-000068,2025-05-01,2025-05-19,2.96,5.2,2,6.22,90.9,85.0,70.86,43.96,Self-employed,Telecom,Data Analyst,Account Executive,excel react sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000084,EMP-000069,2025-07-01,2025-07-15,3.94,5.16,2,6.19,72.4,88.3,67.47,45.28,Part-time,Government Services,Software Developer,Cloud Associate,autocad azure machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000085,EMP-000070,2025-08-01,2025-08-28,4.93,4.59,0,5.25,67.1,65.6,100.0,25.0,Contract,Banking & Finance,Support Engineer,Software Developer,aws communication power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000086,EMP-000071,2025-03-01,2025-03-05,0.99,5.07,3,5.62,85.5,84.3,100.0,44.14,Full-time,Education,Cybersecurity Associate,Sales Executive,azure healthcare_operations javascript,0,synthetic_longitudinal_derivation
TRN-SIH26135-000087,EMP-000072,2025-04-01,2025-04-18,1.97,3.86,2,5.78,88.5,82.0,100.0,34.26,Full-time,Retail,Graphic Designer,Software Developer,cybersecurity javascript machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000088,EMP-000073,2025-06-01,2025-06-01,2.96,4.46,1,5.49,86.1,64.5,100.0,30.57,Full-time,Logistics,Software Developer,Graphic Designer,linux react sales,0,synthetic_longitudinal_derivation
TRN-SIH26135-000089,EMP-000074,2025-07-01,2025-07-15,3.94,4.7,1,5.87,89.7,75.0,66.91,66.97,Full-time,E-commerce,Software Developer,Graphic Designer,communication networking python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000090,EMP-000075,2025-08-01,2025-08-28,4.93,5.02,2,6.17,88.9,100.0,75.0,26.21,Full-time,Education,Digital Marketing Executive,Technician,azure excel machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000091,EMP-000076,2025-05-01,2025-05-14,0.99,5.25,2,5.72,81.1,74.0,100.0,37.5,Contract,IT Services,Account Executive,Data Analyst,azure cybersecurity excel,0,synthetic_longitudinal_derivation
TRN-SIH26135-000092,EMP-000077,2025-06-01,2025-06-27,1.97,4.85,1,6.19,79.7,86.2,100.0,43.4,Contract,Banking & Finance,Healthcare Assistant,Digital Marketing Executive,autocad javascript linux,0,synthetic_longitudinal_derivation
TRN-SIH26135-000093,EMP-000078,2025-08-01,2025-08-10,2.96,4.3,1,5.05,73.5,58.0,100.0,67.96,Full-time,IT Services,Support Engineer,Cloud Associate,digital_marketing excel sales,0,synthetic_longitudinal_derivation
TRN-SIH26135-000094,EMP-000079,2025-09-01,2025-09-23,3.94,5.65,0,6.14,76.1,97.4,75.0,35.77,Self-employed,Healthcare,Software Developer,Cloud Associate,healthcare_operations linux sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000095,EMP-000080,2025-11-01,2025-11-06,4.93,6.2,0,5.47,83.2,80.7,100.0,48.97,Full-time,Manufacturing,Sales Executive,Digital Marketing Executive,javascript networking react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000096,EMP-000081,2025-07-01,2025-07-23,0.99,4.49,2,5.45,48.1,82.8,100.0,66.39,Full-time,Telecom,Support Engineer,Support Engineer,autocad aws react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000098,EMP-000082,2025-09-01,2025-09-18,1.97,3.2,0,5.09,64.6,54.5,100.0,58.41,Full-time,E-commerce,Support Engineer,Healthcare Assistant,cybersecurity data_analysis networking,0,synthetic_longitudinal_derivation
TRN-SIH26135-000099,EMP-000083,2025-11-01,2025-11-01,2.96,5.42,0,6.33,83.2,89.4,61.7,37.17,Full-time,Education,Web Developer,Support Engineer,networking power_bi sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000100,EMP-000084,2025-12-01,2025-12-15,3.94,5.36,2,6.04,71.5,79.4,50.0,32.84,Full-time,Healthcare,Data Analyst,Cybersecurity Associate,accounting cybersecurity power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000101,EMP-000085,2026-01-01,2026-01-28,4.93,5.15,2,5.9,93.9,100.0,70.0,21.01,Full-time,Retail,Cybersecurity Associate,Cybersecurity Associate,healthcare_operations linux power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000102,EMP-000086,2025-10-01,2025-10-14,0.99,4.67,0,5.69,75.0,87.8,41.68,41.01,Part-time,Government Services,Data Analyst,Software Developer,python react sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000103,EMP-000087,2025-11-01,2025-11-27,1.97,4.23,0,5.22,76.3,61.3,65.0,45.37,Full-time,Education,Healthcare Assistant,Software Developer,digital_marketing linux python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000104,EMP-000088,2026-01-01,2026-01-10,2.96,4.1,2,5.81,78.3,76.9,65.0,37.21,Self-employed,IT Services,Web Developer,Software Developer,accounting autocad python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000105,EMP-000089,2026-02-01,2026-02-23,3.94,4.23,1,5.05,74.0,45.2,83.99,65.83,Full-time,IT Services,Graphic Designer,Support Engineer,data_analysis digital_marketing linux,0,synthetic_longitudinal_derivation
TRN-SIH26135-000106,EMP-000090,2026-04-01,2026-04-08,4.93,5.58,1,5.62,76.3,79.7,100.0,50.42,Part-time,Education,Graphic Designer,Healthcare Assistant,accounting digital_marketing machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000107,EMP-000091,2025-12-01,2025-12-23,0.99,5.38,0,5.98,90.3,77.4,50.0,38.81,Apprenticeship,E-commerce,Healthcare Assistant,Digital Marketing Executive,azure digital_marketing sales,0,synthetic_longitudinal_derivation
TRN-SIH26135-000108,EMP-000092,2026-02-01,2026-02-05,1.97,3.21,3,5.03,71.6,62.1,100.0,23.33,Full-time,Manufacturing,Web Developer,Data Analyst,digital_marketing java networking,0,synthetic_longitudinal_derivation
TRN-SIH26135-000109,EMP-000093,2026-03-01,2026-03-21,2.96,5.78,0,6.13,85.8,93.1,100.0,50.68,Apprenticeship,Banking & Finance,Support Engineer,Web Developer,communication data_analysis excel,0,synthetic_longitudinal_derivation
TRN-SIH26135-000110,EMP-000094,2026-05-01,2026-05-04,3.94,4.79,1,5.92,75.7,85.6,70.0,25.49,Full-time,Logistics,Technician,Healthcare Assistant,communication javascript python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000111,EMP-000095,2026-06-01,2026-06-17,4.93,5.36,1,5.39,73.0,78.2,100.0,56.25,Full-time,E-commerce,Account Executive,Sales Executive,data_analysis digital_marketing sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000112,EMP-000096,2024-03-01,2024-03-13,0.99,5.15,0,5.87,94.6,77.8,100.0,21.57,Contract,Education,Web Developer,Software Developer,accounting digital_marketing react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000113,EMP-000097,2024-04-01,2024-04-26,1.97,5.22,5,6.06,65.4,89.7,60.62,33.06,Self-employed,IT Services,Graphic Designer,Healthcare Assistant,cybersecurity healthcare_operations power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000114,EMP-000098,2024-06-01,2024-06-09,2.96,5.23,1,6.02,94.2,69.5,56.44,22.7,Apprenticeship,E-commerce,Technician,Healthcare Assistant,healthcare_operations javascript machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000115,EMP-000099,2024-07-01,2024-07-23,3.94,4.83,3,5.37,88.8,64.9,100.0,31.72,Full-time,Telecom,Web Developer,Web Developer,digital_marketing networking power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000116,EMP-000100,2024-09-01,2024-09-05,4.93,5.32,1,5.3,71.0,81.9,83.17,46.91,Apprenticeship,Banking & Finance,Healthcare Assistant,Cybersecurity Associate,accounting data_analysis networking,0,synthetic_longitudinal_derivation
TRN-SIH26135-000117,EMP-000101,2024-05-01,2024-05-22,0.99,4.78,0,5.42,73.9,74.3,100.0,56.76,Full-time,Government Services,Software Developer,Graphic Designer,autocad data_analysis sales,0,synthetic_longitudinal_derivation
TRN-SIH26135-000118,EMP-000102,2024-07-01,2024-07-05,1.97,4.36,1,6.04,77.1,90.7,45.0,37.86,Part-time,Logistics,Web Developer,Technician,excel linux networking,0,synthetic_longitudinal_derivation
TRN-SIH26135-000119,EMP-000103,2024-08-01,2024-08-18,2.96,5.18,1,6.25,100.0,82.6,100.0,39.13,Apprenticeship,Education,Healthcare Assistant,Software Developer,digital_marketing excel networking,0,synthetic_longitudinal_derivation
TRN-SIH26135-000121,EMP-000104,2024-10-01,2024-10-14,3.94,5.01,1,5.34,61.8,58.5,75.5,38.16,Full-time,E-commerce,Account Executive,Web Developer,accounting azure sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000124,EMP-000105,2024-12-01,2024-12-23,4.93,4.2,3,5.55,91.8,67.8,100.0,70.87,Apprenticeship,Logistics,Technician,Software Developer,javascript networking react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000125,EMP-000106,2024-09-01,2024-09-08,0.99,4.79,0,5.25,90.2,67.4,67.71,38.17,Part-time,IT Services,Cloud Associate,Web Developer,excel java react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000126,EMP-000107,2024-10-01,2024-10-22,1.97,4.79,0,5.81,87.1,84.0,69.81,19.4,Full-time,Healthcare,Graphic Designer,Support Engineer,java linux power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000128,EMP-000108,2024-12-01,2024-12-18,2.96,4.91,0,5.7,67.7,80.0,100.0,31.97,Full-time,Healthcare,Graphic Designer,Account Executive,autocad machine_learning networking,0,synthetic_longitudinal_derivation
TRN-SIH26135-000129,EMP-000109,2025-01-01,2025-01-31,3.94,3.93,0,6.02,73.7,87.1,100.0,52.58,Full-time,IT Services,Support Engineer,Cloud Associate,communication networking sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000130,EMP-000110,2025-03-01,2025-03-16,4.93,3.82,0,5.47,83.6,74.3,100.0,39.02,Full-time,Retail,Web Developer,Graphic Designer,accounting aws azure,0,synthetic_longitudinal_derivation
TRN-SIH26135-000131,EMP-000111,2024-11-01,2024-11-30,0.99,5.36,8,6.2,100.0,85.6,100.0,30.4,Full-time,Banking & Finance,Account Executive,Sales Executive,autocad networking python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000132,EMP-000112,2025-01-01,2025-01-13,1.97,4.14,3,5.67,77.3,66.1,70.69,46.39,Full-time,E-commerce,Data Analyst,Digital Marketing Executive,communication healthcare_operations react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000133,EMP-000113,2025-02-01,2025-02-26,2.96,3.55,0,5.66,95.4,73.7,63.7,57.33,Full-time,Government Services,Sales Executive,Cloud Associate,accounting aws java,0,synthetic_longitudinal_derivation
TRN-SIH26135-000134,EMP-000114,2025-04-01,2025-04-11,3.94,3.48,0,5.39,62.9,72.6,81.11,33.87,Contract,Education,Technician,Digital Marketing Executive,autocad excel javascript,0,synthetic_longitudinal_derivation
TRN-SIH26135-000135,EMP-000115,2025-05-01,2025-05-25,4.93,4.65,2,5.42,98.6,72.6,100.0,28.19,Full-time,Healthcare,Support Engineer,Cybersecurity Associate,aws python react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000136,EMP-000116,2025-02-01,2025-02-08,0.99,4.99,1,5.59,78.8,76.0,100.0,73.15,Full-time,Telecom,Cybersecurity Associate,Healthcare Assistant,machine_learning react sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000137,EMP-000117,2025-03-01,2025-03-24,1.97,5.41,0,6.02,87.7,82.5,100.0,32.35,Contract,Education,Software Developer,Web Developer,autocad data_analysis java,0,synthetic_longitudinal_derivation
TRN-SIH26135-000138,EMP-000118,2025-05-01,2025-05-07,2.96,4.16,0,5.56,76.6,61.3,76.2,52.38,Self-employed,IT Services,Support Engineer,Sales Executive,autocad communication cybersecurity,1,synthetic_longitudinal_derivation
TRN-SIH26135-000139,EMP-000119,2025-06-01,2025-06-20,3.94,5.51,0,6.38,87.1,86.9,100.0,56.6,Full-time,Retail,Software Developer,Data Analyst,autocad data_analysis javascript,0,synthetic_longitudinal_derivation
TRN-SIH26135-000140,EMP-000120,2025-08-01,2025-08-03,4.93,4.12,0,4.78,68.7,65.2,78.25,50.0,Contract,Manufacturing,Healthcare Assistant,Cloud Associate,excel linux react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000142,EMP-000121,2025-05-01,2025-05-02,0.99,4.7,0,5.47,93.3,72.0,72.06,33.57,Full-time,Retail,Graphic Designer,Software Developer,azure digital_marketing sql,1,synthetic_longitudinal_derivation
