Trainee_ID,Skill,Assessment_Date,Evidence_Source,Proficiency
TRN-SIH26135-000023,power bi,2024-09-29,legacy_skill_assessment,91.2
TRN-SIH26135-000024,autocad,2024-10-05,legacy_skill_assessment,59.7
TRN-SIH26135-000024,cybersecurity,2024-10-12,legacy_skill_assessment,55.7
TRN-SIH26135-000024,sql,2024-10-19,legacy_skill_assessment,62.7
TRN-SIH26135-000025,aws,2024-10-25,legacy_skill_assessment,59.7
TRN-SIH26135-000025,digital marketing,2024-11-01,legacy_skill_assessment,66.7
TRN-SIH26135-000025,javascript,2024-10-18,legacy_skill_assessment,63.7
TRN-SIH26135-000026,autocad,2024-11-07,legacy_skill_assessment,32.7
TRN-SIH26135-000026,healthcare operations,2024-11-14,legacy_skill_assessment,39.7
TRN-SIH26135-000026,power bi,2024-10-31,legacy_skill_assessment,36.7
TRN-SIH26135-000027,java,2024-11-27,legacy_skill_assessment,47.2
TRN-SIH26135-000027,linux,2024-11-13,legacy_skill_assessment,44.2
TRN-SIH26135-000027,power bi,2024-11-20,legacy_skill_assessment,40.2
TRN-SIH26135-000028,azure,2024-11-26,legacy_skill_assessment,69.4
TRN-SIH26135-000028,linux,2024-12-03,legacy_skill_assessment,65.4
TRN-SIH26135-000028,sales,2024-12-10,legacy_skill_assessment,72.4
TRN-SIH26135-000029,java,2024-12-16,legacy_skill_assessment,77.1
TRN-SIH26135-000029,linux,2024-12-09,legacy_skill_assessment,81.1
TRN-SIH26135-000029,machine learning,2024-12-23,legacy_skill_assessment,84.1
TRN-SIH26135-000030,autocad,2024-12-22,legacy_skill_assessment,89.1
TRN-SIH26135-000030,communication,2024-12-29,legacy_skill_assessment,85.1
TRN-SIH26135-000030,java,2025-01-05,legacy_skill_assessment,92.1
TRN-SIH26135-000031,accounting,2025-01-18,legacy_skill_assessment,91.2
TRN-SIH26135-000031,excel,2025-01-04,legacy_skill_assessment,88.2
TRN-SIH26135-000031,sql,2025-01-11,legacy_skill_assessment,84.2
TRN-SIH26135-000032,digital marketing,2025-01-17,legacy_skill_assessment,61.0
TRN-SIH26135-000032,excel,2025-01-31,legacy_skill_assessment,64.0
TRN-SIH26135-000032,javascript,2025-01-24,legacy_skill_assessment,57.0
TRN-SIH26135-000033,java,2025-02-13,legacy_skill_assessment,71.6
TRN-SIH26135-000033,networking,2025-01-30,legacy_skill_assessment,68.6
TRN-SIH26135-000033,python,2025-02-06,legacy_skill_assessment,64.6
TRN-SIH26135-000034,autocad,2025-02-19,legacy_skill_assessment,79.4
TRN-SIH26135-000034,digital marketing,2025-02-12,legacy_skill_assessment,83.4
TRN-SIH26135-000034,sales,2025-02-26,legacy_skill_assessment,86.4
TRN-SIH26135-000035,communication,2025-03-11,legacy_skill_assessment,98.3
TRN-SIH26135-000035,cybersecurity,2025-03-04,legacy_skill_assessment,91.3
TRN-SIH26135-000035,linux,2025-02-25,legacy_skill_assessment,95.3
TRN-SIH26135-000036,digital marketing,2025-03-10,legacy_skill_assessment,67.5
TRN-SIH26135-000036,java,2025-03-24,legacy_skill_assessment,70.5
TRN-SIH26135-000036,machine learning,2025-03-17,legacy_skill_assessment,63.5
TRN-SIH26135-000037,java,2025-03-30,legacy_skill_assessment,78.7
TRN-SIH26135-000037,machine learning,2025-04-06,legacy_skill_assessment,85.7
TRN-SIH26135-000037,sql,2025-03-23,legacy_skill_assessment,82.7
TRN-SIH26135-000038,accounting,2025-04-19,legacy_skill_assessment,40.6
TRN-SIH26135-000038,data analysis,2025-04-05,legacy_skill_assessment,37.6
TRN-SIH26135-000038,machine learning,2025-04-12,legacy_skill_assessment,33.6
TRN-SIH26135-000039,autocad,2025-04-25,legacy_skill_assessment,78.8
TRN-SIH26135-000039,data analysis,2025-04-18,legacy_skill_assessment,82.8
TRN-SIH26135-000039,linux,2025-05-02,legacy_skill_assessment,85.8
TRN-SIH26135-000040,healthcare operations,2025-05-01,legacy_skill_assessment,75.5
TRN-SIH26135-000040,java,2025-05-08,legacy_skill_assessment,71.5
TRN-SIH26135-000040,react,2025-05-15,legacy_skill_assessment,78.5
TRN-SIH26135-000041,aws,2025-05-14,legacy_skill_assessment,48.9
TRN-SIH26135-000041,excel,2025-05-21,legacy_skill_assessment,44.9
TRN-SIH26135-000041,python,2025-05-28,legacy_skill_assessment,51.9
TRN-SIH26135-000042,healthcare operations,2025-06-10,legacy_skill_assessment,76.0
TRN-SIH26135-000042,linux,2025-05-27,legacy_skill_assessment,73.0
TRN-SIH26135-000042,react,2025-06-03,legacy_skill_assessment,69.0
TRN-SIH26135-000043,excel,2025-06-16,legacy_skill_assessment,54.7
TRN-SIH26135-000043,healthcare operations,2025-06-09,legacy_skill_assessment,58.7
TRN-SIH26135-000043,python,2025-06-23,legacy_skill_assessment,61.7
TRN-SIH26135-000044,accounting,2025-07-06,legacy_skill_assessment,78.6
TRN-SIH26135-000044,power bi,2025-06-29,legacy_skill_assessment,71.6
TRN-SIH26135-000044,python,2025-06-22,legacy_skill_assessment,75.6
TRN-SIH26135-000045,azure,2025-07-19,legacy_skill_assessment,81.7
TRN-SIH26135-000045,digital marketing,2025-07-12,legacy_skill_assessment,74.7
TRN-SIH26135-000045,excel,2025-07-05,legacy_skill_assessment,78.7
TRN-SIH26135-000046,accounting,2025-07-25,legacy_skill_assessment,59.9
TRN-SIH26135-000046,data analysis,2025-08-01,legacy_skill_assessment,66.9
TRN-SIH26135-000046,linux,2025-07-18,legacy_skill_assessment,63.9
TRN-SIH26135-000047,accounting,2025-08-14,legacy_skill_assessment,66.0
TRN-SIH26135-000047,machine learning,2025-07-31,legacy_skill_assessment,63.0
TRN-SIH26135-000047,networking,2025-08-07,legacy_skill_assessment,59.0
TRN-SIH26135-000048,communication,2025-08-20,legacy_skill_assessment,51.3
TRN-SIH26135-000048,java,2025-08-27,legacy_skill_assessment,58.3
TRN-SIH26135-000048,sql,2025-08-13,legacy_skill_assessment,55.3
TRN-SIH26135-000049,python,2025-09-09,legacy_skill_assessment,64.8
TRN-SIH26135-000049,react,2025-08-26,legacy_skill_assessment,61.8
TRN-SIH26135-000049,sql,2025-09-02,legacy_skill_assessment,57.8
TRN-SIH26135-000050,healthcare operations,2025-09-22,legacy_skill_assessment,82.1
TRN-SIH26135-000050,linux,2025-09-08,legacy_skill_assessment,79.1
TRN-SIH26135-000050,sales,2025-09-15,legacy_skill_assessment,75.1
TRN-SIH26135-000051,cybersecurity,2025-09-28,legacy_skill_assessment,47.1
TRN-SIH26135-000051,javascript,2025-09-21,legacy_skill_assessment,51.1
TRN-SIH26135-000051,machine learning,2025-10-05,legacy_skill_assessment,54.1
TRN-SIH26135-000052,cybersecurity,2025-10-18,legacy_skill_assessment,83.8
TRN-SIH26135-000052,javascript,2025-10-04,legacy_skill_assessment,80.8
TRN-SIH26135-000052,sql,2025-10-11,legacy_skill_assessment,76.8
TRN-SIH26135-000053,communication,2025-10-24,legacy_skill_assessment,23.8
TRN-SIH26135-000053,digital marketing,2025-10-31,legacy_skill_assessment,30.8
TRN-SIH26135-000053,javascript,2025-10-17,legacy_skill_assessment,27.8
TRN-SIH26135-000054,azure,2025-11-06,legacy_skill_assessment,55.3
TRN-SIH26135-000054,linux,2025-10-30,legacy_skill_assessment,59.3
TRN-SIH26135-000054,networking,2025-11-13,legacy_skill_assessment,62.3
TRN-SIH26135-000055,linux,2025-11-19,legacy_skill_assessment,89.0
TRN-SIH26135-000055,power bi,2025-11-26,legacy_skill_assessment,96.0
TRN-SIH26135-000055,react,2025-11-12,legacy_skill_assessment,93.0
TRN-SIH26135-000056,azure,2025-11-25,legacy_skill_assessment,58.6
TRN-SIH26135-000056,communication,2025-12-09,legacy_skill_assessment,61.6
TRN-SIH26135-000056,healthcare operations,2025-12-02,legacy_skill_assessment,54.6
TRN-SIH26135-000057,accounting,2023-12-19,legacy_skill_assessment,44.5
TRN-SIH26135-000057,machine learning,2023-12-26,legacy_skill_assessment,40.5
TRN-SIH26135-000057,sql,2024-01-02,legacy_skill_assessment,47.5
TRN-SIH26135-000058,data analysis,2024-01-01,legacy_skill_assessment,87.1
TRN-SIH26135-000058,java,2024-01-08,legacy_skill_assessment,83.1
TRN-SIH26135-000058,python,2024-01-15,legacy_skill_assessment,90.1
TRN-SIH26135-000059,autocad,2024-01-14,legacy_skill_assessment,51.0
TRN-SIH26135-000059,healthcare operations,2024-01-21,legacy_skill_assessment,47.0
TRN-SIH26135-000059,machine learning,2024-01-28,legacy_skill_assessment,54.0
TRN-SIH26135-000060,autocad,2024-02-03,legacy_skill_assessment,57.0
TRN-SIH26135-000060,data analysis,2024-02-10,legacy_skill_assessment,64.0
TRN-SIH26135-000060,sql,2024-01-27,legacy_skill_assessment,61.0
TRN-SIH26135-000061,autocad,2024-02-09,legacy_skill_assessment,60.2
TRN-SIH26135-000061,excel,2024-02-16,legacy_skill_assessment,56.2
TRN-SIH26135-000061,networking,2024-02-23,legacy_skill_assessment,63.2
TRN-SIH26135-000062,accounting,2024-03-07,legacy_skill_assessment,38.1
TRN-SIH26135-000062,javascript,2024-02-22,legacy_skill_assessment,35.1
TRN-SIH26135-000062,python,2024-02-29,legacy_skill_assessment,31.1
TRN-SIH26135-000063,communication,2024-03-13,legacy_skill_assessment,52.4
TRN-SIH26135-000063,machine learning,2024-03-20,legacy_skill_assessment,59.4
TRN-SIH26135-000063,power bi,2024-03-06,legacy_skill_assessment,56.4
TRN-SIH26135-000064,cybersecurity,2024-03-19,legacy_skill_assessment,75.6
TRN-SIH26135-000064,javascript,2024-04-02,legacy_skill_assessment,78.6
TRN-SIH26135-000064,linux,2024-03-26,legacy_skill_assessment,71.6
TRN-SIH26135-000065,autocad,2024-04-15,legacy_skill_assessment,44.7
TRN-SIH26135-000065,aws,2024-04-08,legacy_skill_assessment,37.7
TRN-SIH26135-000065,machine learning,2024-04-01,legacy_skill_assessment,41.7
TRN-SIH26135-000066,linux,2024-04-28,legacy_skill_assessment,75.3
TRN-SIH26135-000066,power bi,2024-04-21,legacy_skill_assessment,68.3
TRN-SIH26135-000066,react,2024-04-14,legacy_skill_assessment,72.3
TRN-SIH26135-000067,autocad,2024-05-11,legacy_skill_assessment,87.5
TRN-SIH26135-000067,azure,2024-04-27,legacy_skill_assessment,84.5
TRN-SIH26135-000067,data analysis,2024-05-04,legacy_skill_assessment,80.5
TRN-SIH26135-000068,aws,2024-05-10,legacy_skill_assessment,80.0
TRN-SIH26135-000068,networking,2024-05-17,legacy_skill_assessment,76.0
TRN-SIH26135-000068,power bi,2024-05-24,legacy_skill_assessment,83.0
TRN-SIH26135-000069,aws,2024-05-30,legacy_skill_assessment,50.6
TRN-SIH26135-000069,python,2024-05-23,legacy_skill_assessment,54.6
TRN-SIH26135-000069,react,2024-06-06,legacy_skill_assessment,57.6
TRN-SIH26135-000070,accounting,2024-06-12,legacy_skill_assessment,61.0
TRN-SIH26135-000070,digital marketing,2024-06-19,legacy_skill_assessment,68.0
TRN-SIH26135-000070,healthcare operations,2024-06-05,legacy_skill_assessment,65.0
TRN-SIH26135-000071,accounting,2024-06-25,legacy_skill_assessment,63.6
TRN-SIH26135-000071,communication,2024-06-18,legacy_skill_assessment,67.6
TRN-SIH26135-000071,sql,2024-07-02,legacy_skill_assessment,70.6
TRN-SIH26135-000072,communication,2024-07-15,legacy_skill_assessment,37.0
TRN-SIH26135-000072,digital marketing,2024-07-08,legacy_skill_assessment,30.0
TRN-SIH26135-000072,healthcare operations,2024-07-01,legacy_skill_assessment,34.0
TRN-SIH26135-000073,accounting,2024-07-14,legacy_skill_assessment,62.3
TRN-SIH26135-000073,javascript,2024-07-21,legacy_skill_assessment,58.3
TRN-SIH26135-000073,react,2024-07-28,legacy_skill_assessment,65.3
TRN-SIH26135-000074,autocad,2024-08-10,legacy_skill_assessment,58.5
TRN-SIH26135-000074,data analysis,2024-08-03,legacy_skill_assessment,51.5
TRN-SIH26135-000074,sql,2024-07-27,legacy_skill_assessment,55.5
TRN-SIH26135-000075,communication,2024-08-16,legacy_skill_assessment,69.4
TRN-SIH26135-000075,digital marketing,2024-08-09,legacy_skill_assessment,73.4
TRN-SIH26135-000075,excel,2024-08-23,legacy_skill_assessment,76.4
TRN-SIH26135-000076,cybersecurity,2024-08-22,legacy_skill_assessment,77.3
TRN-SIH26135-000076,digital marketing,2024-09-05,legacy_skill_assessment,80.3
TRN-SIH26135-000076,java,2024-08-29,legacy_skill_assessment,73.3
TRN-SIH26135-000077,autocad,2024-09-11,legacy_skill_assessment,71.9
TRN-SIH26135-000077,communication,2024-09-04,legacy_skill_assessment,75.9
TRN-SIH26135-000077,cybersecurity,2024-09-18,legacy_skill_assessment,78.9
TRN-SIH26135-000078,azure,2024-09-24,legacy_skill_assessment,74.7
TRN-SIH26135-000078,javascript,2024-10-01,legacy_skill_assessment,81.7
TRN-SIH26135-000078,machine learning,2024-09-17,legacy_skill_assessment,78.7
TRN-SIH26135-000079,aws,2024-10-07,legacy_skill_assessment,61.7
TRN-SIH26135-000079,data analysis,2024-09-30,legacy_skill_assessment,65.7
TRN-SIH26135-000079,python,2024-10-14,legacy_skill_assessment,68.7
TRN-SIH26135-000080,cybersecurity,2024-10-27,legacy_skill_assessment,76.6
TRN-SIH26135-000080,power bi,2024-10-20,legacy_skill_assessment,69.6
TRN-SIH26135-000080,sql,2024-10-13,legacy_skill_assessment,73.6
TRN-SIH26135-000081,data analysis,2024-10-26,legacy_skill_assessment,71.6
TRN-SIH26135-000081,power bi,2024-11-02,legacy_skill_assessment,67.6
TRN-SIH26135-000081,react,2024-11-09,legacy_skill_assessment,74.6
TRN-SIH26135-000082,excel,2024-11-15,legacy_skill_assessment,68.0
TRN-SIH26135-000082,react,2024-11-22,legacy_skill_assessment,75.0
TRN-SIH26135-000082,sql,2024-11-08,legacy_skill_assessment,72.0
TRN-SIH26135-000083,autocad,2024-11-21,legacy_skill_assessment,69.4
TRN-SIH26135-000083,communication,2024-11-28,legacy_skill_assessment,65.4
TRN-SIH26135-000083,networking,2024-12-05,legacy_skill_assessment,72.4
TRN-SIH26135-000084,autocad,2024-12-04,legacy_skill_assessment,66.7
TRN-SIH26135-000084,azure,2024-12-18,legacy_skill_assessment,69.7
TRN-SIH26135-000084,machine learning,2024-12-11,legacy_skill_assessment,62.7
TRN-SIH26135-000085,aws,2024-12-24,legacy_skill_assessment,48.9
TRN-SIH26135-000085,communication,2024-12-17,legacy_skill_assessment,52.9
TRN-SIH26135-000085,power bi,2024-12-31,legacy_skill_assessment,55.9
TRN-SIH26135-000086,azure,2025-01-06,legacy_skill_assessment,76.7
TRN-SIH26135-000086,healthcare operations,2024-12-30,legacy_skill_assessment,80.7
TRN-SIH26135-000086,javascript,2025-01-13,legacy_skill_assessment,83.7
TRN-SIH26135-000087,cybersecurity,2025-01-12,legacy_skill_assessment,72.7
TRN-SIH26135-000087,javascript,2025-01-26,legacy_skill_assessment,75.7
TRN-SIH26135-000087,machine learning,2025-01-19,legacy_skill_assessment,68.7
TRN-SIH26135-000088,linux,2025-02-01,legacy_skill_assessment,51.0
TRN-SIH26135-000088,react,2025-02-08,legacy_skill_assessment,58.0
TRN-SIH26135-000088,sales,2025-01-25,legacy_skill_assessment,55.0
TRN-SIH26135-000089,communication,2025-02-14,legacy_skill_assessment,57.9
TRN-SIH26135-000089,networking,2025-02-07,legacy_skill_assessment,61.9
TRN-SIH26135-000089,python,2025-02-21,legacy_skill_assessment,64.9
TRN-SIH26135-000090,azure,2025-02-20,legacy_skill_assessment,88.7
TRN-SIH26135-000090,excel,2025-02-27,legacy_skill_assessment,84.7
TRN-SIH26135-000090,machine learning,2025-03-06,legacy_skill_assessment,91.7
TRN-SIH26135-000091,azure,2025-03-05,legacy_skill_assessment,51.4
TRN-SIH26135-000091,cybersecurity,2025-03-19,legacy_skill_assessment,54.4
TRN-SIH26135-000091,excel,2025-03-12,legacy_skill_assessment,47.4
TRN-SIH26135-000092,autocad,2025-04-01,legacy_skill_assessment,65.1
TRN-SIH26135-000092,javascript,2025-03-25,legacy_skill_assessment,58.1
TRN-SIH26135-000092,linux,2025-03-18,legacy_skill_assessment,62.1
TRN-SIH26135-000093,digital marketing,2025-03-31,legacy_skill_assessment,62.2
TRN-SIH26135-000093,excel,2025-04-07,legacy_skill_assessment,58.2
TRN-SIH26135-000093,sales,2025-04-14,legacy_skill_assessment,65.2
TRN-SIH26135-000094,healthcare operations,2025-04-13,legacy_skill_assessment,81.5
TRN-SIH26135-000094,linux,2025-04-27,legacy_skill_assessment,84.5
TRN-SIH26135-000094,sql,2025-04-20,legacy_skill_assessment,77.5
TRN-SIH26135-000095,javascript,2025-04-26,legacy_skill_assessment,77.8
TRN-SIH26135-000095,networking,2025-05-10,legacy_skill_assessment,80.8
TRN-SIH26135-000095,react,2025-05-03,legacy_skill_assessment,73.8
TRN-SIH26135-000096,autocad,2025-05-09,legacy_skill_assessment,82.0
TRN-SIH26135-000096,aws,2025-05-23,legacy_skill_assessment,85.0
TRN-SIH26135-000096,react,2025-05-16,legacy_skill_assessment,78.0
TRN-SIH26135-000097,javascript,2025-05-22,legacy_skill_assessment,66.8
TRN-SIH26135-000097,machine learning,2025-05-29,legacy_skill_assessment,62.8
TRN-SIH26135-000097,sql,2025-06-05,legacy_skill_assessment,69.8
TRN-SIH26135-000098,cybersecurity,2025-06-04,legacy_skill_assessment,48.8
TRN-SIH26135-000098,data analysis,2025-06-18,legacy_skill_assessment,51.8
TRN-SIH26135-000098,networking,2025-06-11,legacy_skill_assessment,44.8
TRN-SIH26135-000099,networking,2025-07-01,legacy_skill_assessment,76.6
TRN-SIH26135-000099,power bi,2025-06-24,legacy_skill_assessment,69.6
TRN-SIH26135-000099,sql,2025-06-17,legacy_skill_assessment,73.6
TRN-SIH26135-000100,accounting,2025-06-30,legacy_skill_assessment,87.4
TRN-SIH26135-000100,cybersecurity,2025-07-14,legacy_skill_assessment,90.4
TRN-SIH26135-000100,power bi,2025-07-07,legacy_skill_assessment,83.4
TRN-SIH26135-000101,healthcare operations,2025-07-20,legacy_skill_assessment,89.7
TRN-SIH26135-000101,linux,2025-07-13,legacy_skill_assessment,93.7
TRN-SIH26135-000101,power bi,2025-07-27,legacy_skill_assessment,96.7
TRN-SIH26135-000102,python,2025-07-26,legacy_skill_assessment,63.7
TRN-SIH26135-000102,react,2025-08-02,legacy_skill_assessment,59.7
TRN-SIH26135-000102,sql,2025-08-09,legacy_skill_assessment,66.7
TRN-SIH26135-000103,digital marketing,2025-08-15,legacy_skill_assessment,74.2
TRN-SIH26135-000103,linux,2025-08-22,legacy_skill_assessment,81.2
TRN-SIH26135-000103,python,2025-08-08,legacy_skill_assessment,78.2
TRN-SIH26135-000104,accounting,2025-09-04,legacy_skill_assessment,96.7
TRN-SIH26135-000104,autocad,2025-08-28,legacy_skill_assessment,89.7
TRN-SIH26135-000104,python,2025-08-21,legacy_skill_assessment,93.7
TRN-SIH26135-000105,data analysis,2025-09-10,legacy_skill_assessment,30.3
TRN-SIH26135-000105,digital marketing,2025-09-17,legacy_skill_assessment,37.3
TRN-SIH26135-000105,linux,2025-09-03,legacy_skill_assessment,34.3
TRN-SIH26135-000106,accounting,2025-09-16,legacy_skill_assessment,76.2
TRN-SIH26135-000106,digital marketing,2025-09-30,legacy_skill_assessment,79.2
TRN-SIH26135-000106,machine learning,2025-09-23,legacy_skill_assessment,72.2
TRN-SIH26135-000107,azure,2025-10-06,legacy_skill_assessment,82.2
TRN-SIH26135-000107,digital marketing,2025-10-13,legacy_skill_assessment,89.2
TRN-SIH26135-000107,sales,2025-09-29,legacy_skill_assessment,86.2
TRN-SIH26135-000108,digital marketing,2025-10-26,legacy_skill_assessment,78.7
TRN-SIH26135-000108,java,2025-10-12,legacy_skill_assessment,75.7
TRN-SIH26135-000108,networking,2025-10-19,legacy_skill_assessment,71.7
TRN-SIH26135-000109,communication,2025-11-08,legacy_skill_assessment,99.8
TRN-SIH26135-000109,data analysis,2025-11-01,legacy_skill_assessment,92.8
TRN-SIH26135-000109,excel,2025-10-25,legacy_skill_assessment,96.8
TRN-SIH26135-000110,communication,2025-11-07,legacy_skill_assessment,76.9
TRN-SIH26135-000110,javascript,2025-11-21,legacy_skill_assessment,79.9
TRN-SIH26135-000110,python,2025-11-14,legacy_skill_assessment,72.9
TRN-SIH26135-000111,data analysis,2025-11-27,legacy_skill_assessment,72.2
TRN-SIH26135-000111,digital marketing,2025-12-04,legacy_skill_assessment,79.2
TRN-SIH26135-000111,sql,2025-11-20,legacy_skill_assessment,76.2
TRN-SIH26135-000112,accounting,2023-12-28,legacy_skill_assessment,85.0
TRN-SIH26135-000112,digital marketing,2023-12-14,legacy_skill_assessment,82.0
TRN-SIH26135-000112,react,2023-12-21,legacy_skill_assessment,78.0
TRN-SIH26135-000113,cybersecurity,2024-01-03,legacy_skill_assessment,56.0
TRN-SIH26135-000113,healthcare operations,2024-01-10,legacy_skill_assessment,63.0
TRN-SIH26135-000113,power bi,2023-12-27,legacy_skill_assessment,60.0
TRN-SIH26135-000114,healthcare operations,2024-01-23,legacy_skill_assessment,69.7
TRN-SIH26135-000114,javascript,2024-01-16,legacy_skill_assessment,62.7
TRN-SIH26135-000114,machine learning,2024-01-09,legacy_skill_assessment,66.7
TRN-SIH26135-000115,digital marketing,2024-01-22,legacy_skill_assessment,58.5
TRN-SIH26135-000115,networking,2024-01-29,legacy_skill_assessment,54.5
TRN-SIH26135-000115,power bi,2024-02-05,legacy_skill_assessment,61.5
TRN-SIH26135-000116,accounting,2024-02-18,legacy_skill_assessment,61.9
TRN-SIH26135-000116,data analysis,2024-02-11,legacy_skill_assessment,54.9
TRN-SIH26135-000116,networking,2024-02-04,legacy_skill_assessment,58.9
TRN-SIH26135-000117,autocad,2024-02-24,legacy_skill_assessment,70.7
TRN-SIH26135-000117,data analysis,2024-03-02,legacy_skill_assessment,77.7
TRN-SIH26135-000117,sales,2024-02-17,legacy_skill_assessment,74.7
TRN-SIH26135-000118,excel,2024-03-08,legacy_skill_assessment,71.5
TRN-SIH26135-000118,linux,2024-03-01,legacy_skill_assessment,75.5
TRN-SIH26135-000118,networking,2024-03-15,legacy_skill_assessment,78.5
TRN-SIH26135-000119,digital marketing,2024-03-21,legacy_skill_assessment,75.5
TRN-SIH26135-000119,excel,2024-03-14,legacy_skill_assessment,79.5
TRN-SIH26135-000119,networking,2024-03-28,legacy_skill_assessment,82.5
TRN-SIH26135-000120,excel,2024-04-10,legacy_skill_assessment,61.5
