Trainee_ID,Target_Job_Role,Skill,Required_Proficiency,Importance_Weight,Effective_From,Data_Origin,Current_Proficiency,Missing_Skill,Proficiency_Deficit,Weighted_Deficit
TRN-SIH26135-000011,Cybersecurity Associate,networking,70,0.2,2024-01-01,synthetic_derived,0.0,True,70.0,0.2
TRN-SIH26135-000012,Healthcare Assistant,healthcare operations,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000012,Healthcare Assistant,communication,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000012,Healthcare Assistant,excel,60,0.2,2024-01-01,synthetic_derived,0.0,True,60.0,0.2
TRN-SIH26135-000013,Cybersecurity Associate,cybersecurity,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000013,Cybersecurity Associate,linux,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000013,Cybersecurity Associate,networking,70,0.2,2024-01-01,synthetic_derived,76.0,False,0.0,0.0
TRN-SIH26135-000014,Healthcare Assistant,healthcare operations,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000014,Healthcare Assistant,excel,60,0.2,2024-01-01,synthetic_derived,0.0,True,60.0,0.2
TRN-SIH26135-000014,Healthcare Assistant,communication,70,0.3,2024-01-01,synthetic_derived,61.4,False,8.6,0.0369
TRN-SIH26135-000015,Software Developer,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000015,Software Developer,java,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000015,Software Developer,sql,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000016,Account Executive,accounting,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000016,Account Executive,excel,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000016,Account Executive,communication,65,0.2,2024-01-01,synthetic_derived,0.0,True,65.0,0.2
TRN-SIH26135-000017,Sales Executive,sales,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000017,Sales Executive,communication,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000017,Sales Executive,excel,60,0.15,2024-01-01,synthetic_derived,77.2,False,0.0,0.0
TRN-SIH26135-000018,Data Analyst,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000018,Data Analyst,power bi,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000018,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,74.5,False,5.5,0.0275
TRN-SIH26135-000019,Digital Marketing Executive,digital marketing,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000019,Digital Marketing Executive,communication,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000019,Digital Marketing Executive,excel,65,0.2,2024-01-01,synthetic_derived,0.0,True,65.0,0.2
TRN-SIH26135-000020,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,0.0,True,75.0,0.45
TRN-SIH26135-000020,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000020,Technician,excel,60,0.25,2024-01-01,synthetic_derived,72.8,False,0.0,0.0
TRN-SIH26135-000021,Software Developer,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000021,Software Developer,java,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000021,Software Developer,sql,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000022,Software Developer,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000022,Software Developer,java,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000022,Software Developer,sql,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000023,Digital Marketing Executive,digital marketing,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000023,Digital Marketing Executive,communication,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000023,Digital Marketing Executive,excel,65,0.2,2024-01-01,synthetic_derived,98.2,False,0.0,0.0
TRN-SIH26135-000024,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000024,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000024,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,59.7,False,15.3,0.0918
TRN-SIH26135-000025,Cybersecurity Associate,cybersecurity,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000025,Cybersecurity Associate,linux,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000025,Cybersecurity Associate,networking,70,0.2,2024-01-01,synthetic_derived,0.0,True,70.0,0.2
TRN-SIH26135-000026,Sales Executive,sales,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000026,Sales Executive,communication,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000026,Sales Executive,excel,60,0.15,2024-01-01,synthetic_derived,0.0,True,60.0,0.15
TRN-SIH26135-000027,Sales Executive,sales,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000027,Sales Executive,communication,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000027,Sales Executive,excel,60,0.15,2024-01-01,synthetic_derived,0.0,True,60.0,0.15
TRN-SIH26135-000028,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000028,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,69.4,False,5.6,0.0261
TRN-SIH26135-000028,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,65.4,False,4.6,0.0164
TRN-SIH26135-000029,Support Engineer,networking,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000029,Support Engineer,communication,65,0.25,2024-01-01,synthetic_derived,0.0,True,65.0,0.25
TRN-SIH26135-000029,Support Engineer,linux,75,0.35,2024-01-01,synthetic_derived,81.1,False,0.0,0.0
TRN-SIH26135-000030,Software Developer,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000030,Software Developer,sql,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000030,Software Developer,java,75,0.35,2024-01-01,synthetic_derived,92.1,False,0.0,0.0
TRN-SIH26135-000031,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,0.0,True,75.0,0.45
TRN-SIH26135-000031,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000031,Technician,excel,60,0.25,2024-01-01,synthetic_derived,88.2,False,0.0,0.0
TRN-SIH26135-000032,Support Engineer,networking,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000032,Support Engineer,linux,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000032,Support Engineer,communication,65,0.25,2024-01-01,synthetic_derived,0.0,True,65.0,0.25
TRN-SIH26135-000033,Software Developer,sql,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000033,Software Developer,python,75,0.35,2024-01-01,synthetic_derived,64.6,False,10.4,0.0485
TRN-SIH26135-000033,Software Developer,java,75,0.35,2024-01-01,synthetic_derived,71.6,False,3.4,0.0159
TRN-SIH26135-000034,Cybersecurity Associate,cybersecurity,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000034,Cybersecurity Associate,linux,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000034,Cybersecurity Associate,networking,70,0.2,2024-01-01,synthetic_derived,0.0,True,70.0,0.2
TRN-SIH26135-000035,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000035,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000035,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,95.3,False,0.0,0.0
TRN-SIH26135-000036,Support Engineer,networking,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000036,Support Engineer,linux,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000036,Support Engineer,communication,65,0.25,2024-01-01,synthetic_derived,0.0,True,65.0,0.25
TRN-SIH26135-000037,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000037,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000037,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000038,Cybersecurity Associate,cybersecurity,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000038,Cybersecurity Associate,linux,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000038,Cybersecurity Associate,networking,70,0.2,2024-01-01,synthetic_derived,0.0,True,70.0,0.2
TRN-SIH26135-000039,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000039,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000039,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,78.8,False,0.0,0.0
TRN-SIH26135-000040,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,0.0,True,75.0,0.45
TRN-SIH26135-000040,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000040,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000041,Graphic Designer,communication,70,0.4,2024-01-01,synthetic_derived,0.0,True,70.0,0.4
TRN-SIH26135-000041,Graphic Designer,digital marketing,65,0.35,2024-01-01,synthetic_derived,0.0,True,65.0,0.35
TRN-SIH26135-000041,Graphic Designer,excel,60,0.25,2024-01-01,synthetic_derived,44.9,False,15.1,0.0629
TRN-SIH26135-000042,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000042,Data Analyst,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000042,Data Analyst,power bi,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000043,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000043,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000043,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000044,Account Executive,excel,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000044,Account Executive,communication,65,0.2,2024-01-01,synthetic_derived,0.0,True,65.0,0.2
TRN-SIH26135-000044,Account Executive,accounting,80,0.5,2024-01-01,synthetic_derived,78.6,False,1.4,0.0087
TRN-SIH26135-000045,Web Developer,javascript,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000045,Web Developer,react,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000045,Web Developer,sql,65,0.25,2024-01-01,synthetic_derived,0.0,True,65.0,0.25
TRN-SIH26135-000046,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,0.0,True,75.0,0.45
TRN-SIH26135-000046,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000046,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000047,Support Engineer,linux,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000047,Support Engineer,communication,65,0.25,2024-01-01,synthetic_derived,0.0,True,65.0,0.25
TRN-SIH26135-000047,Support Engineer,networking,80,0.4,2024-01-01,synthetic_derived,59.0,False,21.0,0.105
TRN-SIH26135-000048,Software Developer,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000048,Software Developer,java,75,0.35,2024-01-01,synthetic_derived,58.3,False,16.7,0.0779
TRN-SIH26135-000048,Software Developer,sql,70,0.3,2024-01-01,synthetic_derived,55.3,False,14.7,0.063
TRN-SIH26135-000049,Web Developer,javascript,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000049,Web Developer,react,75,0.35,2024-01-01,synthetic_derived,61.8,False,13.2,0.0616
TRN-SIH26135-000049,Web Developer,sql,65,0.25,2024-01-01,synthetic_derived,57.8,False,7.2,0.0277
TRN-SIH26135-000050,Software Developer,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000050,Software Developer,java,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000050,Software Developer,sql,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000051,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000051,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000051,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000052,Data Analyst,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000052,Data Analyst,power bi,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000052,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,76.8,False,3.2,0.016
TRN-SIH26135-000053,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,0.0,True,75.0,0.45
TRN-SIH26135-000053,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000053,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000054,Healthcare Assistant,healthcare operations,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000054,Healthcare Assistant,communication,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000054,Healthcare Assistant,excel,60,0.2,2024-01-01,synthetic_derived,0.0,True,60.0,0.2
TRN-SIH26135-000055,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,0.0,True,75.0,0.45
TRN-SIH26135-000055,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000055,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000056,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000056,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000056,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,58.6,False,16.4,0.0765
TRN-SIH26135-000057,Healthcare Assistant,healthcare operations,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000057,Healthcare Assistant,communication,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000057,Healthcare Assistant,excel,60,0.2,2024-01-01,synthetic_derived,0.0,True,60.0,0.2
TRN-SIH26135-000058,Web Developer,javascript,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000058,Web Developer,react,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000058,Web Developer,sql,65,0.25,2024-01-01,synthetic_derived,0.0,True,65.0,0.25
TRN-SIH26135-000059,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000059,Data Analyst,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000059,Data Analyst,power bi,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000060,Graphic Designer,communication,70,0.4,2024-01-01,synthetic_derived,0.0,True,70.0,0.4
TRN-SIH26135-000060,Graphic Designer,digital marketing,65,0.35,2024-01-01,synthetic_derived,0.0,True,65.0,0.35
TRN-SIH26135-000060,Graphic Designer,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000061,Graphic Designer,communication,70,0.4,2024-01-01,synthetic_derived,0.0,True,70.0,0.4
TRN-SIH26135-000061,Graphic Designer,digital marketing,65,0.35,2024-01-01,synthetic_derived,0.0,True,65.0,0.35
TRN-SIH26135-000061,Graphic Designer,excel,60,0.25,2024-01-01,synthetic_derived,56.2,False,3.8,0.0158
TRN-SIH26135-000062,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000062,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000062,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000063,Graphic Designer,digital marketing,65,0.35,2024-01-01,synthetic_derived,0.0,True,65.0,0.35
TRN-SIH26135-000063,Graphic Designer,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000063,Graphic Designer,communication,70,0.4,2024-01-01,synthetic_derived,52.4,False,17.6,0.1006
TRN-SIH26135-000064,Graphic Designer,communication,70,0.4,2024-01-01,synthetic_derived,0.0,True,70.0,0.4
TRN-SIH26135-000064,Graphic Designer,digital marketing,65,0.35,2024-01-01,synthetic_derived,0.0,True,65.0,0.35
TRN-SIH26135-000064,Graphic Designer,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000065,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000065,Data Analyst,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000065,Data Analyst,power bi,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000066,Graphic Designer,communication,70,0.4,2024-01-01,synthetic_derived,0.0,True,70.0,0.4
TRN-SIH26135-000066,Graphic Designer,digital marketing,65,0.35,2024-01-01,synthetic_derived,0.0,True,65.0,0.35
TRN-SIH26135-000066,Graphic Designer,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000067,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000067,Data Analyst,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000067,Data Analyst,power bi,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000068,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000068,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000068,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,80.0,False,0.0,0.0
TRN-SIH26135-000069,Support Engineer,networking,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000069,Support Engineer,linux,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000069,Support Engineer,communication,65,0.25,2024-01-01,synthetic_derived,0.0,True,65.0,0.25
TRN-SIH26135-000070,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000070,Data Analyst,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000070,Data Analyst,power bi,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000071,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,0.0,True,75.0,0.45
TRN-SIH26135-000071,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000071,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000072,Healthcare Assistant,healthcare operations,80,0.5,2024-01-01,synthetic_derived,34.0,False,46.0,0.2875
TRN-SIH26135-000072,Healthcare Assistant,excel,60,0.2,2024-01-01,synthetic_derived,0.0,True,60.0,0.2
TRN-SIH26135-000072,Healthcare Assistant,communication,70,0.3,2024-01-01,synthetic_derived,37.0,False,33.0,0.1414
TRN-SIH26135-000073,Healthcare Assistant,healthcare operations,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000073,Healthcare Assistant,communication,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000073,Healthcare Assistant,excel,60,0.2,2024-01-01,synthetic_derived,0.0,True,60.0,0.2
TRN-SIH26135-000074,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000074,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000074,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,58.5,False,16.5,0.099
TRN-SIH26135-000075,Digital Marketing Executive,digital marketing,80,0.5,2024-01-01,synthetic_derived,73.4,False,6.6,0.0412
TRN-SIH26135-000075,Digital Marketing Executive,communication,70,0.3,2024-01-01,synthetic_derived,69.4,False,0.6,0.0026
TRN-SIH26135-000075,Digital Marketing Executive,excel,65,0.2,2024-01-01,synthetic_derived,76.4,False,0.0,0.0
TRN-SIH26135-000076,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,0.0,True,75.0,0.45
TRN-SIH26135-000076,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000076,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000077,Technician,networking,65,0.3,2024-01-01,synthetic_derived,0.0,True,65.0,0.3
TRN-SIH26135-000077,Technician,excel,60,0.25,2024-01-01,synthetic_derived,0.0,True,60.0,0.25
TRN-SIH26135-000077,Technician,autocad,75,0.45,2024-01-01,synthetic_derived,71.9,False,3.1,0.0186
TRN-SIH26135-000078,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000078,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000078,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,74.7,False,0.3,0.0014
TRN-SIH26135-000079,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
